PartNumber	PartName	Designation	d3_basic_external_od(mm)	d2_installed_od(mm)	d4_inside_dia(mm)	installled_id(mm)	t_thichness_basic(mm)	b_width(mm)	a_cutend_(mm)	do_hole_dia(mm)	Material	Reference	Edition
JIS B 2804 RING 13 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_13_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	13.0	14.1	13.6	11.4	10.996	1.0	1.8	3.5	1.5	St	JIS B 2804	2001
JIS B 2804 RING 15 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_15_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	15.0	16.2	15.7	13.2	12.793	1.0	2.0	3.6	1.7	St	JIS B 2804	2001
JIS B 2804 RING 17 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_17_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	17.0	18.3	17.8	15.3	14.882	1.0	2.0	3.8	1.7	St	JIS B 2804	2001
JIS B 2804 RING 24 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_24_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	24.0	25.9	25.2	22.15	21.551	1.2	2.5	4.3	2.0	St	JIS B 2804	2001
JIS B 2804 RING 26 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_26_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	26.0	27.9	27.2	23.4	22.813	1.2	3.0	4.6	2.0	St	JIS B 2804	2001
JIS B 2804 RING 36 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_36_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	36.0	38.8	38.0	33.55	32.858	1.6	3.5	5.2	2.5	St	JIS B 2804	2001
JIS B 2804 RING 38 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_38_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	38.0	40.8	40.0	34.8	34.118	1.6	4.0	5.3	2.5	St	JIS B 2804	2001
JIS B 2804 RING 48 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_48_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	48.0	51.5	50.5	44.75	43.881	1.8	4.5	6.2	2.5	St	JIS B 2804	2001
JIS B 2804 RING 56 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_56_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	56.0	60.2	59.0	52.55	51.502	2.0	5.1	6.6	2.5	St	JIS B 2804	2001
JIS B 2804 RING 63 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_63_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	63.0	67.2	66.0	58.95	57.897	2.0	5.5	6.9	2.5	St	JIS B 2804	2001
JIS B 2804 RING 65 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_65_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	65.0	69.2	68.0	60.95	59.893	2.5	5.5	7.0	2.5	St	JIS B 2804	2001
JIS B 2804 RING 70 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_70_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	70.0	74.5	73.0	65.5	64.181	2.5	6.0	7.4	2.5	St	JIS B 2804	2001
JIS B 2804 RING 105 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_105_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	105.0	112.0	109.0	98.65	96.008	4.0	8.9	9.1	3.0	St	JIS B 2804	2001
JIS B 2804 RING 112 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_112_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	112.0	119.0	116.0	105.65	102.987	4.0	8.9	10.2	3.0	St	JIS B 2804	2001
JIS B 2804 RING 115 STEEL RETAINING FOR IN BORE USE TYPE CE NONPREFERRED	JIS_B_2804_115_FOR_IN_BORE_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	115.0	122.0	119.0	107.75	105.1	4.0	9.5	10.2	3.0	St	JIS B 2804	2001
