PartNumber	PartName	Designation	d3_basic_internal_dia(mm)	t_thichness_basic(mm)	b_max_width(mm)	r_max_(mm)	Material	Reference	Edition
JIS B 2804 RING 20 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_20_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	20.0	18.7	1.2	2.0	0.3	St	JIS B 2804	2001
JIS B 2804 RING 22 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_22_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	22.0	20.7	1.2	2.0	0.3	St	JIS B 2804	2001
JIS B 2804 RING 25 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_25_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	25.0	23.4	1.2	2.0	0.3	St	JIS B 2804	2001
JIS B 2804 RING 28 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_28_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	28.0	26.1	1.6	2.8	0.5	St	JIS B 2804	2001
JIS B 2804 RING 30 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_30_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	30.0	28.1	1.6	2.8	0.5	St	JIS B 2804	2001
JIS B 2804 RING 32 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_32_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	32.0	29.8	1.6	2.8	0.5	St	JIS B 2804	2001
JIS B 2804 RING 35 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_35_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	35.0	32.5	1.6	2.8	0.5	St	JIS B 2804	2001
JIS B 2804 RING 40 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_40_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	40.0	37.4	1.75	3.5	0.7	St	JIS B 2804	2001
JIS B 2804 RING 45 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_45_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	45.0	41.9	1.75	3.5	0.7	St	JIS B 2804	2001
JIS B 2804 RING 50 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_50_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	50.0	46.3	2.0	4.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 55 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_55_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	55.0	51.3	2.0	4.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 60 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_60_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	60.0	56.3	2.0	4.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 65 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_65_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	65.0	61.3	2.5	5.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 70 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_70_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	70.0	66.0	2.5	5.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 75 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_75_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	75.0	71.0	2.5	5.0	0.7	St	JIS B 2804	2001
