PartNumber	PartName	Designation	d3_basic_dia(mm)	d4_dia(mm)	t_thickness_basic(mm)	b_width(mm)	a_cutend(mm)	do_hole_dia(mm)	Material	Reference	Edition
JIS B 2804 RING 10 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_10_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	10.0	9.3	11.7	1.0	1.6	3.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 12 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_12_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	12.0	11.1	13.8	1.0	1.8	3.2	1.5	St	JIS B 2804	2001
JIS B 2804 RING 14 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_14_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	14.0	12.9	15.9	1.0	2.0	3.4	1.7	St	JIS B 2804	2001
JIS B 2804 RING 15 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_15_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	15.0	13.8	16.95	1.0	2.1	3.5	1.7	St	JIS B 2804	2001
JIS B 2804 RING 16 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_16_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	16.0	14.7	18.0	1.0	2.2	3.6	1.7	St	JIS B 2804	2001
JIS B 2804 RING 17 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_17_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	17.0	15.7	19.0	1.0	2.2	3.7	1.7	St	JIS B 2804	2001
JIS B 2804 RING 18 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_18_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	18.0	16.5	20.4	1.2	2.6	3.8	1.7	St	JIS B 2804	2001
JIS B 2804 RING 20 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_20_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	20.0	18.5	22.55	1.2	2.7	3.9	2.0	St	JIS B 2804	2001
JIS B 2804 RING 22 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_22_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	22.0	20.5	24.55	1.2	2.7	4.1	2.0	St	JIS B 2804	2001
JIS B 2804 RING 25 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_25_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	25.0	23.2	27.85	1.2	3.1	4.3	2.0	St	JIS B 2804	2001
JIS B 2804 RING 28 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_28_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	28.0	25.9	30.55	1.6	3.1	4.6	2.0	St	JIS B 2804	2001
JIS B 2804 RING 30 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_30_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	30.0	27.9	33.15	1.6	3.5	4.8	2.0	St	JIS B 2804	2001
JIS B 2804 RING 32 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_32_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	32.0	29.6	34.85	1.6	3.5	5.0	2.5	St	JIS B 2804	2001
JIS B 2804 RING 35 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_35_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	35.0	32.2	38.2	1.6	4.0	5.4	2.5	St	JIS B 2804	2001
JIS B 2804 RING 40 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_40_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	40.0	37.0	43.75	1.8	4.5	5.8	2.5	St	JIS B 2804	2001
JIS B 2804 RING 45 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_45_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	45.0	41.5	48.7	1.8	4.8	6.3	2.5	St	JIS B 2804	2001
JIS B 2804 RING 50 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_50_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	50.0	45.8	53.3	2.0	5.0	6.7	2.5	St	JIS B 2804	2001
JIS B 2804 RING 55 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_55_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	55.0	50.8	58.3	2.0	5.0	7.0	2.5	St	JIS B 2804	2001
JIS B 2804 RING 60 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_60_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	60.0	55.8	64.05	2.0	5.5	7.2	2.5	St	JIS B 2804	2001
JIS B 2804 RING 65 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_65_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	65.0	60.8	70.4	2.5	6.4	7.4	2.5	St	JIS B 2804	2001
JIS B 2804 RING 70 STEEL RETAINING FOR ON SHAFT USE TYPE CE	JIS_B_2804_70_FOR_ON_SHAFT_USE_TYPE_CE_STEEL_RETAINING_RING	70.0	65.5	75.1	2.5	6.4	7.8	2.5	St	JIS B 2804	2001
