PartNumber	PartName	Designation	d3_basic_dia(mm)	d4_dia(mm)	t_thickness_basic(mm)	b_width(mm)	a_cutend(mm)	do_hole_dia(mm)	Material	Reference	Edition
JIS B 2804 RING 11 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_11_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	11.0	10.2	12.9	1.0	1.8	3.1	1.2	St	JIS B 2804	2001
JIS B 2804 RING 19 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_19_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	19.0	17.5	21.55	1.2	2.7	3.8	2.0	St	JIS B 2804	2001
JIS B 2804 RING 24 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_24_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	24.0	22.2	26.85	1.2	3.1	4.2	2.0	St	JIS B 2804	2001
JIS B 2804 RING 26 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_26_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	26.0	24.2	28.85	1.2	3.1	4.4	2.0	St	JIS B 2804	2001
JIS B 2804 RING 36 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_36_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	36.0	33.2	39.2	1.8	4.0	5.4	2.5	St	JIS B 2804	2001
JIS B 2804 RING 38 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_38_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	38.0	35.2	41.95	1.8	4.5	5.6	2.5	St	JIS B 2804	2001
JIS B 2804 RING 42 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_42_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	42.0	38.5	45.25	1.8	4.5	6.2	2.5	St	JIS B 2804	2001
JIS B 2804 RING 48 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_48_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	48.0	44.5	51.7	1.8	4.8	6.5	2.5	St	JIS B 2804	2001
JIS B 2804 RING 56 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_56_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	56.0	51.8	59.3	2.0	5.0	7.0	2.5	St	JIS B 2804	2001
JIS B 2804 RING 105 STEEL RETAINING FOR ON SHAFT USE TYPE CE NONPREFERRED	JIS_B_2804_105_FOR_ON_SHAFT_USE_TYPE_CE_NONPREFERRED_STEEL_RETAINING_RING	105.0	98.0	112.25	4.0	9.5	9.8	3.0	St	JIS B 2804	2001
