PartNumber	PartName	Key_number	Nominal_size	W_width(in)	B_radius(in)	F_actual_length(in)	C_height_of_key_max(in)	C_height_of_key_min(in)	D_height_of_key_max(in)	D_height_of_key_min(in)	E_dis_below_center(in)	E_dis_below_center(ref)	Material	Reference	Edition
ANSI B17.2 KEY NO 617-1 x 3/16_x_2_1/8 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_617-1_x_3/16_x_2_1/8_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	617-1	3/16_x_2_1/8	0.1875	2.125	1.38	0.406	0.401	0.396	0.39	0.6563	 21/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 817-1 x 1/4_x_2_1/8 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_817-1_x_1/4_x_2_1/8_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	817-1	1/4_x_2_1/8	0.25	2.125	1.38	0.406	0.401	0.396	0.39	0.6563	 21/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1017-1 x 5/16_x_2_1/8 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_1017-1_x_5/16_x_2_1/8_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	1017-1	5/16_x_2_1/8	0.3125	2.125	1.38	0.406	0.401	0.396	0.39	0.6563	 21/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1217-1 x 3/8_x_2_1/8 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_1217-1_x_3/8_x_2_1/8_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	1217-1	3/8_x_2_1/8	0.375	2.125	1.38	0.406	0.401	0.396	0.39	0.6563	 21/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 617 x 3/16_x_2_1/8 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_617_x_3/16_x_2_1/8_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	617	3/16_x_2_1/8	0.1875	2.125	1.723	0.531	0.526	0.521	0.515	0.5313	 17/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 817 x 1/4_x_2_1/8 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_817_x_1/4_x_2_1/8_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	817	1/4_x_2_1/8	0.25	2.125	1.723	0.531	0.526	0.521	0.515	0.5313	 17/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1017 x 5/16_x_2_1/8 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_1017_x_5/16_x_2_1/8_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	1017	5/16_x_2_1/8	0.3125	2.125	1.723	0.531	0.526	0.521	0.515	0.5313	 17/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1217 x 3/8_x_2_1/8 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_1217_x_3/8_x_2_1/8_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	1217	3/8_x_2_1/8	0.375	2.125	1.723	0.531	0.526	0.521	0.515	0.5313	 17/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 822-1 x 1/4_x_2_3/4 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_822-1_x_1/4_x_2_3/4_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	822-1	1/4_x_2_3/4	0.25	2.75	2.0	0.594	0.589	0.584	0.578	0.7813	 25/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1022-1 x 5/16_x_2_3/4 STEEL FLAT BOTTOM TYPE 2 WOODRUFF	ANSI_B17_2_NO_1022-1_x_5/16_x_2_3/4_STEEL_FLAT_BOTTOM_TYPE_2_WOODRUFF_KEY	1022-1	5/16_x_2_3/4	0.3125	2.75	2.0	0.594	0.589	0.584	0.578	0.7813	 25/32	St	ANSI B17.2	1967
