PartNumber	PartName	Nominal_size_ref	Nominal_size(in)	A_dia_basic_dia(in)	A_dia_min_dia(in)	A_dia_max_dia(in)	B_dia_basic(in)	B_dia_min(in)	B_dia_max(in)	C_thick_basic(in)	C_thick_max(in)	C_thick_min(in)	Material	Reference	Edition
ANSI B18.22.1 WASHER No_0 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_0_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_0	0.06	0.068	0.063	0.068	0.188	0.183	0.188	0.025	0.028	0.022	St	ANSI B18.22.1	1965
ANSI B18.22.1 WASHER No_1 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_1_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_1	0.073	0.084	0.079	0.084	0.219	0.214	0.219	0.025	0.028	0.022	St	ANSI B18.22.1	1965
ANSI B18.22.1 WASHER No_2 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_2_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_2	0.086	0.094	0.089	0.094	0.25	0.245	0.25	0.032	0.036	0.028	St	ANSI B18.22.1	1965
ANSI B18.22.1 WASHER No_3 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_3_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_3	0.099	0.109	0.104	0.109	0.312	0.307	0.312	0.032	0.036	0.028	St	ANSI B18.22.1	1965
ANSI B18.22.1 WASHER No_4 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_4_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_4	0.112	0.125	0.12	0.133	0.375	0.37	0.383	0.04	0.045	0.036	St	ANSI B18.22.1	1965
ANSI B18.22.1 WASHER No_5 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_5_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_5	0.125	0.141	0.136	0.149	0.406	0.401	0.414	0.04	0.045	0.036	St	ANSI B18.22.1	1965
ANSI B18.22.1 WASHER No_6 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_6_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_6	0.138	0.156	0.151	0.164	0.438	0.433	0.446	0.04	0.045	0.036	St	ANSI B18.22.1	1965
ANSI B18.22.1 WASHER No_8 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_8_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_8	0.164	0.188	0.183	0.196	0.5	0.495	0.508	0.04	0.045	0.036	St	ANSI B18.22.1	1965
ANSI B18.22.1 WASHER No_10 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_10_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_10	0.19	0.203	0.198	0.211	0.562	0.557	0.57	0.063	0.045	0.036	St	ANSI B18.22.1	1965
ANSI B18.22.1 WASHER No_12 STEEL PLAIN REGULAR TYPE B	ANSI_B18_22_1_No_12_STEEL_REGULAR_TYPE_B_PLAIN_WASHER	No_12	0.216	0.234	0.229	0.242	0.625	0.62	0.64	0.063	0.071	0.056	St	ANSI B18.22.1	1965
