PartNumber	PartName	Washer_size(ref)	Nominal_washer_size(in)	A_Inside_dia_max(in)	A_Inside_dia_min(in)	B_Outside_dia_max(in)	T_Mean_section_thickness_min(in)	W_Section_width_min(in)	BW_Bearing_width_min(in)	Material	Reference	Edition
ASME B18.21.1 WASHER No_2 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_No_2_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	No_2	0.086	0.094	0.088	0.208	0.027	0.053	0.037	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_3 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_No_3_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	No_3	0.099	0.107	0.101	0.239	0.034	0.062	0.043	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_4 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_No_4_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	No_4	0.112	0.12	0.114	0.253	0.034	0.062	0.043	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_5 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_No_5_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	No_5	0.125	0.133	0.127	0.3	0.045	0.079	0.055	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_6 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_No_6_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	No_6	0.138	0.148	0.141	0.314	0.045	0.079	0.055	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_8 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_No_8_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	No_8	0.164	0.174	0.167	0.375	0.057	0.096	0.067	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_10 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_No_10_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	No_10	0.19	0.2	0.193	0.434	0.068	0.112	0.078	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_12 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_No_12_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	No_12	0.216	0.227	0.22	0.497	0.08	0.13	0.091	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1/4 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1/4_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1/4	0.25	0.26	0.252	0.533	0.084	0.132	0.092	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 5/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_5/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	5/16	0.313	0.322	0.314	0.619	0.108	0.143	0.1	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 3/8 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_3/8_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	3/8	0.375	0.385	0.377	0.738	0.123	0.17	0.119	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 7/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_7/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	7/16	0.438	0.45	0.44	0.836	0.143	0.186	0.13	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1/2 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1/2_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1/2	0.5	0.512	0.502	0.935	0.162	0.204	0.143	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 9/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_9/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	9/16	0.563	0.574	0.564	1.035	0.182	0.223	0.156	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 5/8 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_5/8_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	5/8	0.625	0.641	0.628	1.151	0.202	0.242	0.169	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 11/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_11/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	11/16	0.688	0.704	0.691	1.252	0.221	0.26	0.182	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 3/4 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_3/4_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	3/4	0.75	0.766	0.753	1.355	0.241	0.279	0.195	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 13/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_13/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	13/16	0.813	0.832	0.816	1.458	0.261	0.298	0.209	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 7/8 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_7/8_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	7/8	0.875	0.894	0.878	1.571	0.285	0.322	0.225	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 15/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_15/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	15/16	0.938	0.958	0.941	1.684	0.308	0.345	0.241	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1	1.0	1.024	1.003	1.794	0.33	0.366	0.256	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_1/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_1/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_1/16	1.063	1.087	1.066	1.905	0.352	0.389	0.272	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_1/8 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_1/8_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_1/8	1.125	1.153	1.129	2.013	0.375	0.411	0.288	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_3/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_3/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_3/16	1.188	1.217	1.192	2.107	0.396	0.431	0.302	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_1/4 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_1/4_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_1/4	1.25	1.28	1.254	2.222	0.417	0.452	0.316	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_5/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_5/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_5/16	1.313	1.344	1.317	2.327	0.438	0.472	0.33	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_3/8 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_3/8_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_3/8	1.375	1.408	1.379	2.429	0.458	0.491	0.344	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_7/16 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_7/16_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_7/16	1.438	1.472	1.442	2.53	0.478	0.509	0.356	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_1/2 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_1/2_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_1/2	1.5	1.534	1.504	2.627	0.496	0.526	0.368	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_5/8 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_5/8_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_5/8	1.625	1.663	1.633	2.784	0.496	0.526	0.368	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_3/4 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_3/4_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_3/4	1.75	1.789	1.758	2.902	0.526	0.532	0.372	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1_7/8 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_1_7/8_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	1_7/8	1.875	1.914	1.883	3.027	0.526	0.532	0.372	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 2 STEEL EXTRA HEAVY HELICAL SPRING-LOCK	ASME_B18_21_1_2_STEEL_EXTRA_HEAVY_HELICAL_SPRING-LOCK_WASHER	2	2.0	2.039	2.008	3.156	0.526	0.532	0.372	St	ASME B18.21.1	1999
