PartNumber	PartName	Washer_sIize(ref)	Nominal_washer_size(in)	A_inside_dia_max(in)	A_inside_dia_min(in)	B_outside_dia_max(in)	T_mean_section_thickness_min(in)	W_section_width_min(in)	BW_bearing_width_min(in)	Material	Reference	Edition
ASME B18.21.1 WASHER No_2 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_No_2_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	No_2	0.086	0.094	0.088	0.182	0.025	0.04	0.028	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_3 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_No_3_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	No_3	0.099	0.107	0.101	0.209	0.031	0.047	0.033	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_4 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_No_4_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	No_4	0.112	0.12	0.114	0.223	0.031	0.047	0.033	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_5 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_No_5_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	No_5	0.125	0.133	0.127	0.252	0.04	0.055	0.038	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_6 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_No_6_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	No_6	0.138	0.148	0.141	0.266	0.04	0.055	0.038	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_8 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_No_8_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	No_8	0.164	0.174	0.167	0.307	0.047	0.062	0.043	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_10 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_No_10_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	No_10	0.19	0.2	0.193	0.35	0.056	0.07	0.049	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_12 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_No_12_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	No_12	0.216	0.227	0.22	0.391	0.063	0.077	0.054	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1/4 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_1/4_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	1/4	0.25	0.26	0.252	0.489	0.077	0.11	0.077	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 5/16 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_5/16_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	5/16	0.313	0.322	0.314	0.593	0.097	0.13	0.091	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 3/8 STEEL HEAVY HELICAL SPRING LOCK 	ASME_B18_21_1_3/8_STEEL_HEAVY_HELICAL_SPRING_LOCK_WASHER	3/8	0.375	0.385	0.377	0.688	0.115	0.145	0.101	St	ASME B18.21.1	1999
