PartNumber	PartName	Washer_size(ref)	Nominal_washer_size(in)	A_Inside_dia_max(in)	A_Inside_dia_min(in)	B_Outside_dia_max(in)	T_Mean_section_thickness_min(in)	W_Section_width_min(in)	BW_Bearing_width_min(in)	Material	Reference	Edition
ASME B18.21.1 WASHER No_2 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_No_2_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	No_2	0.086	0.094	0.088	0.172	0.02	0.035	0.024	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_3 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_No_3_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	No_3	0.099	0.107	0.101	0.195	0.025	0.04	0.028	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_4 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_No_4_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	No_4	0.112	0.12	0.114	0.209	0.025	0.04	0.028	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_5 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_No_5_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	No_5	0.125	0.133	0.127	0.236	0.031	0.047	0.033	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_6 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_No_6_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	No_6	0.138	0.148	0.141	0.25	0.031	0.047	0.033	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_8 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_No_8_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	No_8	0.164	0.174	0.167	0.293	0.04	0.055	0.038	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_10 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_No_10_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	No_10	0.19	0.2	0.193	0.334	0.047	0.062	0.043	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER No_12 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_No_12_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	No_12	0.216	0.227	0.22	0.377	0.056	0.07	0.049	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1/4 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_1/4_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	1/4	0.25	0.26	0.252	0.487	0.062	0.109	0.076	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 5/16 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_5/16_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	5/16	0.313	0.322	0.314	0.583	0.078	0.125	0.087	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 3/8 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_3/8_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	3/8	0.375	0.385	0.377	0.68	0.094	0.141	0.099	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 7/16 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_7/16_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	7/16	0.438	0.45	0.44	0.776	0.109	0.156	0.109	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 1/2 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_1/2_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	1/2	0.5	0.512	0.502	0.869	0.125	0.171	0.12	St	ASME B18.21.1	1999
ASME B18.21.1 WASHER 9/16 STEEL REGULAR HELICAL SPRING-LOCK	ASME_B18_21_1_9/16_STEEL_REGULAR_HELICAL_SPRING-LOCK_WASHER	9/16	0.563	0.574	0.564	0.965	0.141	0.188	0.132	St	ASME B18.21.1	1999
