PartNumber	PartName	Ring_size(ref)	Nominal_size(in)	Nominal_size(ref)	D_free_dia(in)	T_thickness(in)	P_hole_dia(in)	B_lug_height(in)	E_large_section(in)	J_small_section(in)	Material	Reference	Edition
ASME B18.27.1 RING NA1-12 x 1/8 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-12_x_1/8_STEEL_EXTERNAL_RETAINING_RING	NA1-12	0.125	1/8	0.112	0.01	0.026	0.048	0.018	0.011	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-15 x 5/32 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-15_x_5/32_STEEL_EXTERNAL_RETAINING_RING	NA1-15	0.156	5/32	0.142	0.01	0.026	0.056	0.026	0.016	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-18 x 3/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-18_x_3/16_STEEL_EXTERNAL_RETAINING_RING	NA1-18	0.188	3/16	0.168	0.015	0.026	0.052	0.025	0.016	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-19 x 0.197 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-19_x_0.197_STEEL_EXTERNAL_RETAINING_RING	NA1-19	0.197	 105/533	0.179	0.015	0.026	0.058	0.026	0.016	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-21 x 7/32 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-21_x_7/32_STEEL_EXTERNAL_RETAINING_RING	NA1-21	0.219	7/32	0.196	0.015	0.026	0.058	0.028	0.017	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-23 x 15/64 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-23_x_15/64_STEEL_EXTERNAL_RETAINING_RING	NA1-23	0.236	15/64	0.215	0.015	0.026	0.058	0.03	0.019	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-25 x 1/4 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-25_x_1/4_STEEL_EXTERNAL_RETAINING_RING	NA1-25	0.25	1/4	0.225	0.025	0.041	0.083	0.035	0.025	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-27 x 0.276 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-27_x_0.276_STEEL_EXTERNAL_RETAINING_RING	NA1-27	0.276	  69/250	0.25	0.025	0.041	0.084	0.035	0.026	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-28 x 9/32 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-28_x_9/32_STEEL_EXTERNAL_RETAINING_RING	NA1-28	0.281	9/32	0.256	0.025	0.041	0.083	0.038	0.026	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-31 x 5/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-31_x_5/16_STEEL_EXTERNAL_RETAINING_RING	NA1-31	0.312	5/16	0.281	0.025	0.041	0.09	0.04	0.026	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-34 x 11/32 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-34_x_11/32_STEEL_EXTERNAL_RETAINING_RING	NA1-34	0.344	11/32	0.309	0.025	0.041	0.09	0.042	0.027	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-35 x 0.354 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-35_x_0.354_STEEL_EXTERNAL_RETAINING_RING	NA1-35	0.354	 177/500	0.32	0.025	0.041	0.09	0.046	0.029	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-37 x 3/8 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-37_x_3/8_STEEL_EXTERNAL_RETAINING_RING	NA1-37	0.375	3/8	0.338	0.025	0.041	0.091	0.05	0.031	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-39 x 0.394 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-39_x_0.394_STEEL_EXTERNAL_RETAINING_RING	NA1-39	0.394	 197/500	0.354	0.025	0.041	0.09	0.052	0.031	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-40 x 13/32 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-40_x_13/32_STEEL_EXTERNAL_RETAINING_RING	NA1-40	0.406	13/32	0.366	0.025	0.041	0.09	0.054	0.033	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-43 x 7/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-43_x_7/16_STEEL_EXTERNAL_RETAINING_RING	NA1-43	0.438	7/16	0.395	0.025	0.041	0.091	0.055	0.033	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-46 x 15/32 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-46_x_15/32_STEEL_EXTERNAL_RETAINING_RING	NA1-46	0.469	15/32	0.428	0.025	0.041	0.091	0.06	0.035	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-50 x 1/2 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-50_x_1/2_STEEL_EXTERNAL_RETAINING_RING	NA1-50	0.5	1/2	0.461	0.035	0.047	0.111	0.065	0.04	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-55 x 0.551 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-55_x_0.551_STEEL_EXTERNAL_RETAINING_RING	NA1-55	0.551	  27/49 	0.509	0.035	0.047	0.111	0.053	0.036	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-56 x 9/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-56_x_9/16_STEEL_EXTERNAL_RETAINING_RING	NA1-56	0.562	9/16	0.521	0.035	0.047	0.111	0.072	0.041	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-59 x 19/32 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-59_x_19/32_STEEL_EXTERNAL_RETAINING_RING	NA1-59	0.594	19/32	0.55	0.035	0.047	0.112	0.076	0.043	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-62 x 5/8 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-62_x_5/8_STEEL_EXTERNAL_RETAINING_RING	NA1-62	0.625	5/8	0.579	0.035	0.047	0.113	0.08	0.045	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-66 x 0.669 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-66_x_0.669_STEEL_EXTERNAL_RETAINING_RING	NA1-66	0.669	 382/571	0.621	0.035	0.047	0.113	0.082	0.043	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-67 x 43/64 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-67_x_43/64_STEEL_EXTERNAL_RETAINING_RING	NA1-67	0.672	43/64	0.621	0.035	0.047	0.113	0.082	0.043	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-68 x 11/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-68_x_11/16_STEEL_EXTERNAL_RETAINING_RING	NA1-68	0.688	11/16	0.635	0.042	0.052	0.14	0.084	0.048	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-75 x 3/4 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-75_x_3/4_STEEL_EXTERNAL_RETAINING_RING	NA1-75	0.75	3/4	0.693	0.042	0.052	0.14	0.092	0.051	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-78 x 25/32 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-78_x_25/32_STEEL_EXTERNAL_RETAINING_RING	NA1-78	0.781	25/32	0.722	0.042	0.052	0.14	0.094	0.052	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-81 x 13/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-81_x_13/16_STEEL_EXTERNAL_RETAINING_RING	NA1-81	0.812	13/16	0.751	0.042	0.052	0.14	0.096	0.053	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-84 x 0.844 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-84_x_0.844_STEEL_EXTERNAL_RETAINING_RING	NA1-84	0.844	 211/250	0.78	0.042	0.052	0.141	0.1	0.057	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-87 x 7/8 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-87_x_7/8_STEEL_EXTERNAL_RETAINING_RING	NA1-87	0.875	7/8	0.81	0.042	0.052	0.141	0.104	0.057	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-93 x 15/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-93_x_15/16_STEEL_EXTERNAL_RETAINING_RING	NA1-93	0.938	15/16	0.867	0.042	0.078	0.17	0.11	0.063	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-98 x 63/64 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-98_x_63/64_STEEL_EXTERNAL_RETAINING_RING	NA1-98	0.984	63/64	0.91	0.042	0.078	0.171	0.114	0.064	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-100 x 1 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-100_x_1_STEEL_EXTERNAL_RETAINING_RING	NA1-100	1.0	1	0.925	0.042	0.078	0.171	0.116	0.065	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-102 x 1.023 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-102_x_1.023_STEEL_EXTERNAL_RETAINING_RING	NA1-102	1.023	1   2/87 	0.946	0.042	0.078	0.172	0.118	0.066	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-106 x 1_1/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-106_x_1_1/16_STEEL_EXTERNAL_RETAINING_RING	NA1-106	1.062	1_1/16	0.982	0.05	0.078	0.185	0.122	0.069	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-112 x 1_1/8 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-112_x_1_1/8_STEEL_EXTERNAL_RETAINING_RING	NA1-112	1.125	1_1/8	1.041	0.05	0.078	0.186	0.128	0.071	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-118 x 1_3/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-118_x_1_3/16_STEEL_EXTERNAL_RETAINING_RING	NA1-118	1.188	1_3/16	1.098	0.05	0.078	0.187	0.132	0.072	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-125 x 1_1/4 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-125_x_1_1/4_STEEL_EXTERNAL_RETAINING_RING	NA1-125	1.25	1_1/4	1.156	0.05	0.078	0.187	0.14	0.076	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-131 x 1_5/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-131_x_1_5/16_STEEL_EXTERNAL_RETAINING_RING	NA1-131	1.312	1_5/16	1.214	0.05	0.078	0.187	0.146	0.079	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-137 x 1_3/8 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-137_x_1_3/8_STEEL_EXTERNAL_RETAINING_RING	NA1-137	1.375	1_3/8	1.272	0.05	0.078	0.188	0.152	0.082	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-143 x 1_7/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-143_x_1_7/16_STEEL_EXTERNAL_RETAINING_RING	NA1-143	1.438	1_7/16	1.333	0.05	0.078	0.188	0.16	0.086	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-150 x 1_1/2 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-150_x_1_1/2_STEEL_EXTERNAL_RETAINING_RING	NA1-150	1.5	1_1/2	1.387	0.05	0.12	0.218	0.168	0.091	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-156 x 1_9/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-156_x_1_9/16_STEEL_EXTERNAL_RETAINING_RING	NA1-156	1.562	1_9/16	1.446	0.062	0.125	0.239	0.172	0.093	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-162 x 1_5/8 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-162_x_1_5/8_STEEL_EXTERNAL_RETAINING_RING	NA1-162	1.625	1_5/8	1.503	0.062	0.125	0.239	0.18	0.097	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-168 x 1_11/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-168_x_1_11/16_STEEL_EXTERNAL_RETAINING_RING	NA1-168	1.689	1_11/16	1.56	0.062	0.125	0.239	0.184	0.099	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-175 x 1_3/4 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-175_x_1_3/4_STEEL_EXTERNAL_RETAINING_RING	NA1-175	1.75	1_3/4	1.618	0.062	0.125	0.241	0.188	0.101	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-177 x 1.772 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-177_x_1.772_STEEL_EXTERNAL_RETAINING_RING	NA1-177	1.772	1 193/250	1.637	0.062	0.125	0.241	0.19	0.102	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-181 x 1_13/16 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-181_x_1_13/16_STEEL_EXTERNAL_RETAINING_RING	NA1-181	1.812	1_13/16	1.675	0.062	0.125	0.242	0.192	0.102	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-187 x 1_7/8 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-187_x_1_7/8_STEEL_EXTERNAL_RETAINING_RING	NA1-187	1.875	1_7/8	1.735	0.062	0.125	0.243	0.196	0.104	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-196 x 1_31/32 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-196_x_1_31/32_STEEL_EXTERNAL_RETAINING_RING	NA1-196	1.969	1_31/32	1.819	0.062	0.125	0.266	0.2	0.106	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA1-200 x 2 STEEL EXTERNAL RETAINING	ASME_B18_27_1_NA1-200_x_2_STEEL_EXTERNAL_RETAINING_RING	NA1-200	2.0	2	1.85	0.062	0.125	0.272	0.204	0.108	ST	ASME B18.27.1	1998
