PartNumber	PartName	Ring_size(ref)	Nominal_size(ref)	Nominal_size(in)	S_shaft_dia(in)	D_free_Dia(in)	T_thickness(in)	Y_free_outside_dia(in)	Material	Reference	Edition
ASME B18.27.1 RING NA3_4 x 0_04 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_4_x_0_04_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_4	0_04	0.04	0.04	0.025	0.01	0.079	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA3_S6 x 1/16 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_S6_x_1/16_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_S6	1/16	0.062	0.062	0.051	0.01	0.14	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA3_Y6 x 1/16 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_Y6_x_1/16_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_Y6	1/16	0.062	0.062	0.051	0.02	0.187	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA3_6 x 1/16 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_6_x_1/16_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_6	1/16	0.062	0.062	0.051	0.01	0.156	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA3_9 x 3/32 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_9_x_3/32_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_9	3/32	0.094	0.094	0.069	0.015	0.23	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA3_S9 x 3/32 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_S9_x_3/32_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_S9	3/32	0.094	0.094	0.073	0.015	0.187	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA3_S11 x 7/64 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_S11_x_7/64_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_S11	7/64	0.11	0.11	0.076	0.015	0.375	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA3_S12 x 1/8 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_S12_x_1/8_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_S12	1/8	0.125	0.125	0.094	0.025	0.214	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA3_12 x 1/8 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_12_x_1/8_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_12	1/8	0.125	0.125	0.094	0.015	0.23	ST	ASME B18.27.1	1998
ASME B18.27.1 RING NA3_S14 x 9/64 STEEL EXTERNAL RETAINING E TYPE	ASME_B18_27_1_NA3_S14_x_9/64_STEEL_EXTERNAL_E_TYPE_RETAINING_RING	NA3_S14	9/64	0.14	0.14	0.1	0.015	0.203	ST	ASME B18.27.1	1998
