PartNumber	PartName	Ring_size(ref)	Nominal_size(in)	Nominal_size(ref)	S_shaft_dia(in)	D_free_dia(in)	T_thick(in)	P_hole_dia(in)	B_lug_height(in)	E_large_section(in)	J_small_section(in)	Material	Reference	Edition
ASME B18.27.1 RING NA2_25 x 1/4 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_25_x_1/4_STEEL_INTERNAL_RETAINING_RING	NA2_25	0.250	1/4	0.25	0.28	0.015	0.031	0.068	0.025	0.015	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_31 x 5/16 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_31_x_5/16_STEEL_INTERNAL_RETAINING_RING	NA2_31	0.312	5/16	0.312	0.348	0.015	0.031	0.069	0.033	0.018	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_37 x 3/8 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_37_x_3/8_STEEL_INTERNAL_RETAINING_RING	NA2_37	0.375	3/8	0.375	0.415	0.025	0.041	0.085	0.04	0.028	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_43 x 7/16 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_43_x_7/16_STEEL_INTERNAL_RETAINING_RING	NA2_43	0.438	7/16	0.438	0.482	0.025	0.041	0.101	0.049	0.029	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_45 x 29/64 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_45_x_29/64_STEEL_INTERNAL_RETAINING_RING	NA2_45	0.453	29/64	0.453	0.498	0.025	0.047	0.101	0.05	0.03	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_50 x 1/2 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_50_x_1/2_STEEL_INTERNAL_RETAINING_RING	NA2_50	0.500	1/2	0.500	0.548	0.035	0.047	0.117	0.053	0.035	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_51 x 0.512 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_51_x_0.512_STEEL_INTERNAL_RETAINING_RING	NA2_51	0.512	  64/125	0.512	0.56	0.035	0.047	0.119	0.053	0.035	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_56 x 9/16 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_56_x_9/16_STEEL_INTERNAL_RETAINING_RING	NA2_56	0.562	9/16	0.562	0.62	0.035	0.062	0.137	0.053	0.035	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_62 x 5/8 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_62_x_5/8_STEEL_INTERNAL_RETAINING_RING	NA2_62	0.625	5/8	0.625	0.694	0.035	0.062	0.137	0.06	0.035	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_68 x 11/16 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_68_x_11/16_STEEL_INTERNAL_RETAINING_RING	NA2_68	0.688	11/16	0.688	0.763	0.035	0.062	0.137	0.063	0.036	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_75 x 3/4 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_75_x_3/4_STEEL_INTERNAL_RETAINING_RING	NA2_75	0.750	3/4	0.750	0.831	0.035	0.062	0.147	0.07	0.04	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_77 x 0.777 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_77_x_0.777_STEEL_INTERNAL_RETAINING_RING	NA2_77	0.777	 554/713	0.777	0.859	0.042	0.062	0.151	0.074	0.044	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_81 x 13/16 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_81_x_13/16_STEEL_INTERNAL_RETAINING_RING	NA2_81	0.812	13/16	0.812	0.901	0.042	0.062	0.16	0.077	0.044	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_86 x 0.866 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_86_x_0.866_STEEL_INTERNAL_RETAINING_RING	NA2_86	0.866	 433/500	0.866	0.961	0.042	0.062	0.16	0.081	0.045	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_87 x 7/8 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_87_x_7/8_STEEL_INTERNAL_RETAINING_RING	NA2_87	0.875	7/8	0.875	0.971	0.042	0.062	0.16	0.084	0.045	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_90 x 0.901 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_90_x_0.901_STEEL_INTERNAL_RETAINING_RING	NA2_90	0.901	 810/899	0.901	1.0	0.042	0.062	0.16	0.087	0.047	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_93 x 15/16 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_93_x_15/16_STEEL_INTERNAL_RETAINING_RING	NA2_93	0.938	15/16	0.938	1.041	0.042	0.062	0.16	0.091	0.05	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_100 x 1 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_100_x_1_STEEL_INTERNAL_RETAINING_RING	NA2_100	1.000	1	1.000	1.111	0.042	0.062	0.16	0.104	0.052	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_102 x 1.023 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_102_x_1.023_STEEL_INTERNAL_RETAINING_RING	NA2_102	1.023	1   2/87 	1.023	1.136	0.042	0.062	0.16	0.106	0.054	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_106 x 1_1/16 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_106_x_1_1/16_STEEL_INTERNAL_RETAINING_RING	NA2_106	1.062	1_1/16	1.062	1.18	0.05	0.078	0.16	0.11	0.055	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_112 x 1_1/8 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_112_x_1_1/8_STEEL_INTERNAL_RETAINING_RING	NA2_112	1.125	1_1/8	1.125	1.249	0.05	0.078	0.185	0.116	0.057	St	ASME B18.27.1	1998
ASME B18.27.1 RING NA2_118 x 1.181 STEEL INTERNAL RETAINING	ASME_B18_27_1_NA2_118_x_1.181_STEEL_INTERNAL_RETAINING_RING	NA2_118	1.181	1 141/779	1.181	1.319	0.05	0.078	0.185	0.12	0.058	St	ASME B18.27.1	1998
