PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	FullyThreaded	multiplier/increment	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	J_wrenching_height(in)	Y_transition_thread_length(in)	Material	Reference	Edition
ASME B18.2.1 SCREW 1/2 x 0.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_0.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	0.3846	Y	1.5	  1/2 	0.5	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 0.562 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_0.562_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	0.4466	Y	1.5	  9/16	0.562	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 0.625 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_0.625_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	0.5096	Y	1.5	  5/8 	0.625	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 0.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_0.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	0.6346	Y	1.5	  3/4 	0.75	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 0.875 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_0.875_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	0.7596	Y	1.5	  7/8 	0.875	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_1_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	0.8846	Y	1.5	1      	1.0	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.125 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_1.125_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	0.9327	Y	2.5	1  1/8 	1.125	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_1.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	1.0577	Y	2.5	1  1/4 	1.25	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.375 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_1.375_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	1.1827	Y	2.5	1  3/8 	1.375	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_1.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	1.3077	Y	2.5	1  1/2 	1.5	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1/2_x_1.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1/2	0.5	13	0.0769	1.5577	Y	2.5	1  3/4 	1.75	0.5	0.482	0.875	0.875	0.85	1.01	0.969	0.313	0.323	0.302	0.215	0.385	St	ASME B18.2.1	1996
