PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	multiplier	LT_Nom_Thread_Len(in)	Length(ref)	L_Length(in)	E_full_size_body_max_dia(in)	E_full_size_body_min_dia(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	R_radius_of_fillet_max(in)	R_radius_of_fillet_min(in)	Material	Reference	Edition
ASME B18.2.1  BOLT 1/4 x 0.375 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_0.375_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.25	2.5	0.75	  3/8 	0.375	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 0.437 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_0.437_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.312	2.5	0.75	  7/16	0.437	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 0.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_0.5_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.375	2.5	0.75	  1/2 	0.5	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 0.562 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_0.562_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.437	2.5	0.75	  9/16	0.562	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 0.625 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_0.625_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.5	2.5	0.75	  5/8 	0.625	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 0.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_0.75_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.625	2.5	0.75	  3/4 	0.75	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 0.875 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_0.875_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	  7/8 	0.875	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 1 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_1_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	1      	1.0	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 1.125 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_1.125_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	1  1/8 	1.125	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 1.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_1.25_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	1  1/4 	1.25	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 1.375 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_1.375_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	1  3/8 	1.375	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 1.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_1.5_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	1  1/2 	1.5	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 1.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_1.75_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	1  3/4 	1.75	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 2 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_2_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	2      	2.0	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 2.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_2.25_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	2  1/4 	2.25	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
