PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	FullyThreaded	multiplier/increment	Length(ref)	L_length(in)	E_full_size_body_max_dia(in)	E_full_size_body_min_dia(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_rad(in)	J_wrenching_height(in)	Y_transition_thread_length(in)	Material	Reference	Edition
ASME B18.2.1 SCREW 1/4 x 0.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_0.375_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.300	Y	1.5	  3/8 	0.375	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 0.4375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_0.4375_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.363	Y	1.5	  7/16	0.438	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 0.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_0.5_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.425	Y	1.5	  1/2 	0.5	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 0.5625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_0.5625_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.438	Y	2.5	  9/16	0.563	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 0.625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_0.625_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.500	Y	2.5	  5/8 	0.625	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 0.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_0.75_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.625	Y	2.5	  3/4 	0.75	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 0.875 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_0.875_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	Y	2.5	  7/8 	0.875	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 1 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_1_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.875	Y	2.5	1      	1.0	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 1.125 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_1.125_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	1.000	Y	2.5	1  1/8 	1.125	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 1.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_1.25_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	1  1/4 	1.25	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 1.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_1.375_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	1  3/8 	1.375	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 1.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_1.5_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	1  1/2 	1.5	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 1.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_1.75_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	1  3/4 	1.75	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 2 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_2_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	2      	2.0	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 2.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_2.25_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	2  1/4 	2.25	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 2.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_2.75_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	2  3/4 	2.75	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 3 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_3_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	3      	3.0	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 3.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_3.25_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	3  1/4 	3.25	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 3.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_3.5_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	3  1/2 	3.5	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 3.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_3.75_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	3  3/4 	3.75	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 4 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_4_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	4      	4.0	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 4.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_4.25_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	4  1/4 	4.25	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/4 x 4.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/4_x_4.5_UNC_STEEL_HEXAGON_CAP_SCREW	1/4	0.25	20	0.05	0.750	N	0.25	4  1/2 	4.5	0.25	0.245	0.438	0.438	0.428	0.505	0.488	0.156	0.163	0.15	0.03	0.106	0.25	St	ASME B18.2.1	1996
