PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Minor_dia_thread(in)	F_width_across_flats(in)	G_width_across_corners(in)	H1_thickness_heavy_hex_jam_Nuts(in)	Material	Reference	Edition	
ASME B18.2.2 NUT 1/4 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1/4	0.25	20	0.0500	0.172	0.196	0.5	0.577	0.172	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 5/16 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_5/16_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	5/16	0.313	18	0.056	0.203	0.252	0.563	0.65	0.203	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 3/8 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_3/8_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	3/8	0.375	16	0.063	0.234	0.307	0.688	0.794	0.234	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 7/16 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_7/16_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	7/16	0.438	14	0.071	0.266	0.36	0.75	0.866	0.266	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 1/2 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1/2_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1/2	0.5	13	0.077	0.297	0.417	0.875	1.01	0.297	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 9/16 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_9/16_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	9/16	0.563	12	0.083	0.328	0.472	0.938	1.083	0.328	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 5/8 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_5/8_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	5/8	0.625	11	0.091	0.359	0.527	1.063	1.227	0.359	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 3/4 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_3/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	3/4	0.75	10	0.1	0.422	0.642	1.25	1.443	0.422	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 7/8 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_7/8_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	7/8	0.875	9	0.111	0.484	0.755	1.438	1.66	0.484	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 1 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1	1.0	8	0.125	0.547	0.865	1.625	1.876	0.547	St	ASME B18.2.2	1987	
