PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Minor_dia_thread(in)	F_width_across_flats(in)	G_width_across_corners(in)	H_thickness_hex_nuts(in)	Material	Reference	Edition
ASME B18.2.2 NUT 1/4 UNC STEEL HEXAGON	ASME_B18_2_2_1/4_UNC_STEEL_HEXAGON_NUT	1/4	0.25	20	0.0500	0.219	0.196	0.438	0.505	0.219	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 5/16 UNC STEEL HEXAGON	ASME_B18_2_2_5/16_UNC_STEEL_HEXAGON_NUT	5/16	0.313	18	0.0556	0.266	0.252	0.5	0.577	0.266	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 3/8 UNC STEEL HEXAGON	ASME_B18_2_2_3/8_UNC_STEEL_HEXAGON_NUT	3/8	0.375	16	0.0625	0.328	0.307	0.562	0.65	0.328	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 7/16 UNC STEEL HEXAGON	ASME_B18_2_2_7/16_UNC_STEEL_HEXAGON_NUT	7/16	0.438	14	0.0714	0.375	0.36	0.688	0.794	0.375	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 1/2 UNC STEEL HEXAGON	ASME_B18_2_2_1/2_UNC_STEEL_HEXAGON_NUT	1/2	0.5	13	0.0769	0.438	0.417	0.75	0.866	0.438	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 9/16 UNC STEEL HEXAGON	ASME_B18_2_2_9/16_UNC_STEEL_HEXAGON_NUT	9/16	0.563	12	0.0833	0.484	0.472	0.875	1.01	0.484	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 5/8 UNC STEEL HEXAGON	ASME_B18_2_2_5/8_UNC_STEEL_HEXAGON_NUT	5/8	0.625	11	0.0909	0.547	0.527	0.938	1.083	0.547	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 3/4 UNC STEEL HEXAGON	ASME_B18_2_2_3/4_UNC_STEEL_HEXAGON_NUT	3/4	0.75	10	0.1000	0.641	0.642	1.125	1.299	0.641	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 7/8 UNC STEEL HEXAGON	ASME_B18_2_2_7/8_UNC_STEEL_HEXAGON_NUT	7/8	0.875	9	0.1111	0.75	0.755	1.312	1.516	0.75	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 1 UNC STEEL HEXAGON	ASME_B18_2_2_1_UNC_STEEL_HEXAGON_NUT	1	1.0	8	0.1250	0.859	0.865	1.5	1.732	0.859	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 1_1/8 UNC STEEL HEXAGON	ASME_B18_2_2_1_1/8_UNC_STEEL_HEXAGON_NUT	1_1/8	1.125	7	0.1429	0.969	0.97	1.688	1.949	0.969	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 1_1/4 UNC STEEL HEXAGON	ASME_B18_2_2_1_1/4_UNC_STEEL_HEXAGON_NUT	1_1/4	1.25	7	0.1429	1.063	1.095	1.875	2.165	1.063	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 1_3/8 UNC STEEL HEXAGON	ASME_B18_2_2_1_3/8_UNC_STEEL_HEXAGON_NUT	1_3/8	1.375	6	0.1667	1.172	1.195	2.062	2.382	1.172	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 1_1/2 UNC STEEL HEXAGON	ASME_B18_2_2_1_1/2_UNC_STEEL_HEXAGON_NUT	1_1/2	1.5	6	0.1667	1.281	1.32	2.25	2.598	1.281	St	ASME B18.2.2	1987
