PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	A_head_dia(in)	H_head_height(in)	S_side_height(in)	J_hex_scocket_size(in)	T_key_engagement(in)	F_fillet_transition_dia(in)	Material	Reference	Edition
ASME B18.3 SCREW No_1 x 1/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_1_x_1/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.094	1/8	0.13	0.139	0.039	0.01	0.05	0.028	0.093	St	ASME B18.3	2003
ASME B18.3 SCREW No_1 x 3/16 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_1_x_3/16_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.156	3/16	0.19	0.139	0.039	0.01	0.05	0.028	0.093	St	ASME B18.3	2003
ASME B18.3 SCREW No_1 x 1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_1_x_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.219	1/4	0.25	0.139	0.039	0.01	0.05	0.028	0.093	St	ASME B18.3	2003
ASME B18.3 SCREW No_1 x 3/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_1_x_3/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.344	3/8	0.38	0.139	0.039	0.01	0.05	0.028	0.093	St	ASME B18.3	2003
ASME B18.3 SCREW No_1 x 1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_1_x_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.469	1/2	0.50	0.139	0.039	0.01	0.05	0.028	0.093	St	ASME B18.3	2003
ASME B18.3 SCREW No_1 x 5/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_1_x_5/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.594	5/8	0.63	0.139	0.039	0.01	0.05	0.028	0.093	St	ASME B18.3	2003
ASME B18.3 SCREW No_1 x 3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_1_x_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.719	3/4	0.75	0.139	0.039	0.01	0.05	0.028	0.093	St	ASME B18.3	2003
ASME B18.3 SCREW No_1 x 7/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_1_x_7/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.844	7/8	0.88	0.139	0.039	0.01	0.05	0.028	0.093	St	ASME B18.3	2003
ASME B18.3 SCREW No_1 x 1 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_1_x_1_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.969	1	1.00	0.139	0.039	0.01	0.05	0.028	0.093	St	ASME B18.3	2003
ASME B18.3 SCREW No_2 x 1/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_2_x_1/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.089	1/8	0.13	0.164	0.046	0.01	0.05	0.028	0.106	St	ASME B18.3	2003
ASME B18.3 SCREW No_2 x 3/16 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_2_x_3/16_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.152	3/16	0.19	0.164	0.046	0.01	0.05	0.028	0.106	St	ASME B18.3	2003
ASME B18.3 SCREW No_2 x 1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_2_x_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.214	1/4	0.25	0.164	0.046	0.01	0.05	0.028	0.106	St	ASME B18.3	2003
ASME B18.3 SCREW No_2 x 3/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_2_x_3/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.339	3/8	0.38	0.164	0.046	0.01	0.05	0.028	0.106	St	ASME B18.3	2003
ASME B18.3 SCREW No_2 x 1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_2_x_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.464	1/2	0.50	0.164	0.046	0.01	0.05	0.028	0.106	St	ASME B18.3	2003
ASME B18.3 SCREW No_2 x 5/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_2_x_5/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.589	5/8	0.63	0.164	0.046	0.01	0.05	0.028	0.106	St	ASME B18.3	2003
ASME B18.3 SCREW No_2 x 3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_2_x_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.714	3/4	0.75	0.164	0.046	0.01	0.05	0.028	0.106	St	ASME B18.3	2003
ASME B18.3 SCREW No_2 x 7/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_2_x_7/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.839	7/8	0.88	0.164	0.046	0.01	0.05	0.028	0.106	St	ASME B18.3	2003
ASME B18.3 SCREW No_2 x 1 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_2_x_1_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.964	1	1.00	0.164	0.046	0.01	0.05	0.028	0.106	St	ASME B18.3	2003
ASME B18.3 SCREW No_3 x 1/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_3_x_1/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.083	1/8	0.13	0.188	0.052	0.01	0.062	0.035	0.119	St	ASME B18.3	2003
ASME B18.3 SCREW No_3 x 3/16 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_3_x_3/16_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.146	3/16	0.19	0.188	0.052	0.01	0.062	0.035	0.119	St	ASME B18.3	2003
ASME B18.3 SCREW No_3 x 1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_No_3_x_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.208	1/4	0.25	0.188	0.052	0.01	0.062	0.035	0.119	St	ASME B18.3	2003
