PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	s-n-l	L_length(in)	Lg_grip_length	Lt_min thread_ref	D_body_dia(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_hexagon_socet_size(in)	T_key_engagement(in)	G_wall_thickness	K_chamfer(in)	Material	Reference	Edition
ASME B18.3 SCREW No_1 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.094	  1/8 	s	0.13	0.031	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.156	  3/16	s	0.19	0.031	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.219	  1/4 	s	0.25	0.031	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.344	  3/8 	s	0.38	0.031	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.469	  1/2 	s	0.50	0.031	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.594	  5/8 	s	0.63	0.031	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.62	  3/4 	s	0.75	0.031	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.625	  7/8 	n	0.88	0.25	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.75	1      	n	1.00	0.25	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.63	1  1/4 	n	1.25	0.62	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.62	1  1/2 	n	1.50	0.88	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.62	1  3/4 	l	1.75	1.13	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_1_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_1	0.073	64	0.0156	0.62	2      	l	2.00	1.38	0.62	0.073	0.118	0.073	0.005	0.062	0.031	0.025	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.089	  1/8 	s	0.13	0.036	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.152	  3/16	s	0.19	0.036	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.214	  1/4 	s	0.25	0.036	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.339	  3/8 	s	0.38	0.036	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.464	  1/2 	s	0.50	0.036	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.589	  5/8 	s	0.63	0.036	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.62	  3/4 	s	0.75	0.036	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.625	  7/8 	n	0.88	0.25	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.75	1      	n	1.00	0.25	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.63	1  1/4 	n	1.25	0.62	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.62	1  1/2 	n	1.50	0.88	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.63	1  3/4 	n	1.75	1.12	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.62	2      	l	2.00	1.38	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_2_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_2	0.086	56	0.0179	0.62	2  1/4 	l	2.25	1.63	0.62	0.086	0.14	0.086	0.008	0.078	0.038	0.029	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.146	  3/16	s	0.19	0.146	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.208	  1/4 	s	0.25	0.208	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.333	  3/8 	s	0.38	0.333	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.458	  1/2 	s	0.50	0.458	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.583	  5/8 	s	0.63	0.583	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.62	  3/4 	s	0.75	0.708	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.625	  7/8 	n	0.88	0.25	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.75	1      	n	1.00	0.25	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.63	1  1/4 	n	1.25	0.62	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.62	1  1/2 	n	1.50	0.88	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.63	1  3/4 	n	1.75	1.12	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.62	2      	n	2.00	1.38	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.62	2  1/4 	l	2.25	1.63	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_3_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_3	0.099	48	0.0208	0.62	2  1/2 	l	2.50	1.88	0.62	0.099	0.161	0.099	0.008	0.078	0.044	0.034	0.007	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.075	  1/8 	s	0.13	0.05	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.138	  3/16	s	0.19	0.05	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.2	  1/4 	s	0.25	0.05	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.325	  3/8 	s	0.38	0.05	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.45	  1/2 	s	0.50	0.05	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.575	  5/8 	s	0.63	0.05	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.7	  3/4 	s	0.75	0.05	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
