PartNumber	PartName	Nominal_size(ref)	Basic_shoulder_dia(in)	D_shoulder_dia(in)	Length(ref)	L_length(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_Hex_scocket_Size(in)	T_key_engagement(in)	M_fillettransition_dia(in)	R_heda_fillet_radius(in)	K_shoulder_neck_dia(in)	F_shoulder_neck_width(in)	D1_nominal_thread_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	G_thread_neck_dia(in)	I_thread_neck_width(in)	N_thread_neck_fillet(in)	E_thread_length(in)	Material	Reference	Edition
ASME B.18.3 SCREW 1/4 x 0.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	  1/4 	0.25	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 0.375 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	  3/8 	0.375	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 0.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	  1/2 	0.5	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 0.625 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	  5/8 	0.625	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 0.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	  3/4 	0.75	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 1 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	1      	1.0	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 1.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	1  1/4 	1.25	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 1.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	1  1/2 	1.5	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 1.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	1  3/4 	1.75	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 2 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	2      	2.0	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 2.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	2  1/4 	2.25	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 2.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	2  1/2 	2.5	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 2.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	2  3/4 	2.75	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
