PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	chamfer(in)	J_hex_socket_size(in)	T_min_key_engagement_hex_socket(in)	P_half_dog_point_dia(in)	Q_half_dog_point_length(in)	Material	Reference	Edition
ASME B18.3  SCREW No_1 x 0.125 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.125_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.1195	  1/8 	0.125	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
ASME B18.3  SCREW No_1 x 0.15625 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.15625_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.1508	  5/32	0.1563	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
ASME B18.3  SCREW No_1 x 0.1875 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.1875_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.182	  3/16	0.1875	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
ASME B18.3  SCREW No_1 x 0.25 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.25_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.2445	  1/4 	0.25	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
ASME B18.3  SCREW No_1 x 0.3125 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.3125_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.307	  5/16	0.3125	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
ASME B18.3  SCREW No_1 x 0.375 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.375_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.3695	  3/8 	0.375	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
ASME B18.3  SCREW No_1 x 0.4375 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.4375_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.432	  7/16	0.4375	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
ASME B18.3  SCREW No_1 x 0.5 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.5_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.4945	  1/2 	0.5	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
ASME B18.3  SCREW No_1 x 0.625 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.625_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.6195	  5/8 	0.625	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
ASME B18.3  SCREW No_1 x 0.75 UNC STEEL HEXAGON HALF DOG POINT	ASME_B18_3_No_1_x_0.75_UNC_STEEL_HEXAGON_HALF_DOG_POINT_SCREW	No_1	0.073	64	0.0156	0.7445	  3/4 	0.75	0.0055	0.035	0.06	0.049	0.021	St	ASME B18.3	1998
