PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	L_length(ref)	Length(in)	E_body_diamax(in)	E_body_diamin(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.5 BOLT No_10 x 0.25 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_0.25_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.146	0.63	0.104	  1/4 	0.25	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 0.375 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_0.375_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.271	0.63	0.104	  3/8 	0.375	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 0.5 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_0.5_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.396	0.63	0.104	  1/2 	0.5	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 0.625 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_0.625_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.521	0.63	0.104	  5/8 	0.625	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 0.75 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_0.75_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	  3/4 	0.75	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 0.875 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_0.875_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	  7/8 	0.875	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 1 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_1_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	1      	1.0	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 1.125 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_1.125_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	1  1/8 	1.125	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 1.25 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_1.25_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	1  1/4 	1.25	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 1.375 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_1.375_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	1  3/8 	1.375	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
