PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max_edge_sharp(in)	A_head_dia_min_edge_rounded_or_flat(in)	H_head_height(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	U_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 1/4 x 0.375 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_0.375_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.110	0.75	0.265	  3/8 	0.375	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 0.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_0.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.235	0.75	0.265	  1/2 	0.500	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 0.625 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_0.625_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.360	0.75	0.265	  5/8 	0.625	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 0.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_0.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.485	0.75	0.265	  3/4 	0.750	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 0.875 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_0.875_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.610	0.75	0.265	  7/8 	0.875	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_1_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.735	0.75	0.265	1      	1.000	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.125 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_1.125_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	1  1/8 	1.125	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_1.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	1  1/4 	1.250	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.375 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_1.375_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	1  3/8 	1.375	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_1.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	1  1/2 	1.500	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_1.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	1  3/4 	1.750	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_2_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	2      	2.000	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_2.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	2  1/4 	2.250	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_2.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	2  3/4 	2.750	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_3_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	3      	3.000	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_3.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	3  1/4 	3.250	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_3.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	3  1/2 	3.500	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_3.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	3  3/4 	3.750	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_4_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	4      	4.000	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_4.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	4  1/4 	4.250	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_4.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	4  1/2 	4.500	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_4.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	4  3/4 	4.750	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
