PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	I_crown_radius_basic(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	C_cup_and_flat_point_dia_min(in)	Material	Reference	Edition
ASME B18.6.2 SCREW No_1 x 0.125 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_1_x_0.125_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_1	0.073	64	0.0156	0.1152	  1/8 	0.1250	0.073	0.016	0.012	0.02	0.016	0.033	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_1 x 0.1875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_1_x_0.1875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_1	0.073	64	0.0156	0.1777	  3/16	0.1875	0.073	0.016	0.012	0.02	0.016	0.033	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_1 x 0.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_1_x_0.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_1	0.073	64	0.0156	0.2402	  1/4 	0.2500	0.073	0.016	0.012	0.02	0.016	0.033	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_1 x 0.375 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_1_x_0.375_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_1	0.073	64	0.0156	0.3652	  3/8 	0.3750	0.073	0.016	0.012	0.02	0.016	0.033	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_1 x 0.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_1_x_0.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_1	0.073	64	0.0156	0.4902	  1/2 	0.5000	0.073	0.016	0.012	0.02	0.016	0.033	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_1 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_1_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_1	0.073	64	0.0156	0.6152	  5/8 	0.6250	0.073	0.016	0.012	0.02	0.016	0.033	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_1 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_1_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_1	0.073	64	0.0156	0.7402	  3/4 	0.7500	0.073	0.016	0.012	0.02	0.016	0.033	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_1 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_1_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_1	0.073	64	0.0156	0.8652	  7/8 	0.8750	0.073	0.016	0.012	0.02	0.016	0.033	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_1 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_1_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_1	0.073	64	0.0156	0.9902	1      	1.0000	0.073	0.016	0.012	0.02	0.016	0.033	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_2 x 0.125 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_2_x_0.125_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_2	0.086	56	0.0179	0.1135	  1/8 	0.1250	0.086	0.018	0.014	0.025	0.019	0.039	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_2 x 0.1875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_2_x_0.1875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_2	0.086	56	0.0179	0.1760	  3/16	0.1875	0.086	0.018	0.014	0.025	0.019	0.039	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_2 x 0.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_2_x_0.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_2	0.086	56	0.0179	0.2385	  1/4 	0.2500	0.086	0.018	0.014	0.025	0.019	0.039	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_2 x 0.375 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_2_x_0.375_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_2	0.086	56	0.0179	0.3635	  3/8 	0.3750	0.086	0.018	0.014	0.025	0.019	0.039	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_2 x 0.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_2_x_0.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_2	0.086	56	0.0179	0.4885	  1/2 	0.5000	0.086	0.018	0.014	0.025	0.019	0.039	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_2 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_2_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_2	0.086	56	0.0179	0.6135	  5/8 	0.6250	0.086	0.018	0.014	0.025	0.019	0.039	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_2 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_2_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_2	0.086	56	0.0179	0.7385	  3/4 	0.7500	0.086	0.018	0.014	0.025	0.019	0.039	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_2 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_2_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_2	0.086	56	0.0179	0.8635	  7/8 	0.8750	0.086	0.018	0.014	0.025	0.019	0.039	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_2 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_2_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_2	0.086	56	0.0179	0.9885	1      	1.0000	0.086	0.018	0.014	0.025	0.019	0.039	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 0.15625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_0.15625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	0.1430	  5/32	0.1563	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 0.1875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_0.1875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	0.1742	  3/16	0.1875	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 0.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_0.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	0.2367	  1/4 	0.2500	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 0.375 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_0.375_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	0.3617	  3/8 	0.3750	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 0.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_0.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	0.4867	  1/2 	0.5000	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	0.6117	  5/8 	0.6250	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	0.7367	  3/4 	0.7500	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	0.8617	  7/8 	0.8750	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	0.9867	1      	1.0000	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	1.2367	1  1/4 	1.2500	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_3 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_3_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_3	0.099	48	0.0208	1.4867	1  1/2 	1.5000	0.099	0.02	0.016	0.028	0.022	0.045	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 0.125 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_0.125_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	0.1100	  1/8 	0.1250	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 0.1875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_0.1875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	0.1725	  3/16	0.1875	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 0.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_0.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	0.2350	  1/4 	0.2500	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 0.375 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_0.375_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	0.3600	  3/8 	0.3750	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 0.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_0.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	0.4850	  1/2 	0.5000	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	0.6100	  5/8 	0.6250	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	0.7350	  3/4 	0.7500	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	0.8600	  7/8 	0.8750	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	0.9850	1      	1.0000	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	1.2350	1  1/4 	1.2500	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_4 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_4_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_4	0.112	40	0.0250	1.4850	1  1/2 	1.5000	0.112	0.024	0.018	0.031	0.025	0.051	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 0.125 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_0.125_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	0.1083	  1/8 	0.1250	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 0.1875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_0.1875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	0.1708	  3/16	0.1875	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 0.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_0.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	0.2333	  1/4 	0.2500	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 0.375 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_0.375_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	0.3583	  3/8 	0.3750	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 0.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_0.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	0.4833	  1/2 	0.5000	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	0.6083	  5/8 	0.6250	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	0.7333	  3/4 	0.7500	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	0.8583	  7/8 	0.8750	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	0.9833	1      	1.0000	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	1.2333	1  1/4 	1.2500	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	1.4833	1  1/2 	1.5000	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 1.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_1.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	1.7333	1  3/4 	1.7500	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_5 x 2 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_No_5_x_2_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	No_5	0.125	40	0.0250	1.9833	2      	2.0000	0.125	0.026	0.02	0.036	0.026	0.057	St	ASME B18.6.2	1998
