PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_max(in)	H_head_height_min(in)	K_neck_relief_dia_max(in)	K_neck_relief_dia_min(in)	S_neck_relief_fillet_radius(in)	U_neck_relief_width(in)	W_head_radius(in)	P_dog_and_half_dog_point_dia_max(in)	P_dog_and_half_dog_point_dia_min(in)	Q_point_length_dog_max(in)	Q_point_length_dog_min(in)	Material	Reference	Edition
ASME B18.6.2 SCREW No_10 x 0.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_0.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.208	  1/4 	0.25	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_10 x 0.3125 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_0.3125_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.271	  5/16	0.313	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_10 x 0.375 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_0.375_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.333	  3/8 	0.375	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_10 x 0.4375 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_0.4375_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.396	  7/16	0.438	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_10 x 0.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_0.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.458	  1/2 	0.5	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_10 x 0.5625 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_0.5625_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.521	  9/16	0.563	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_10 x 0.625 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_0.625_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.583	  5/8 	0.625	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_10 x 0.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_0.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.708	  3/4 	0.75	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_10 x 0.875 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_0.875_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.833	  7/8 	0.875	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW No_10 x 1 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_No_10_x_1_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	No_10	0.19	24	0.0417	0.958	1      	1.0	0.188	0.18	0.265	0.247	0.148	0.134	0.145	0.14	0.027	0.083	0.48	0.127	0.12	0.095	0.085	St	ASME B18.6.2	1998
