PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_Length(in)	A_width_across_flats_max(in)	A_width_across_flats_min(in)	W_across_corners_min(in)	H_head_height_max(in)	H_head_height_min(in)	B_washer_dia_max(in)	B_washer_dia_min(in)	U_washer_thickness_max(in)	U_washer_thickness_min(in)	F_protrusion_beyond_gaging_ring_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_2 X 0.125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.1071	1.125	Y	1.0	  1/8 	0.1250	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.15625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.15625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.1384	1.125	Y	1.0	  5/32	0.1563	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.1875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.1875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.1696	1.125	Y	1.0	  3/16	0.1875	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.2321	1.125	Y	1.0	  1/4 	0.2500	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.3125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.3125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.2768	1.125	Y	1.0	  5/16	0.3125	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.3393	1.125	Y	1.0	  3/8 	0.3750	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.4375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.4375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.4018	1.125	Y	1.0	  7/16	0.4375	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.4643	1.125	Y	1.0	  1/2 	0.5000	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.5625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.5625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.5268	1.125	Y	1.0	  9/16	0.5625	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.5893	1.125	Y	1.0	  5/8 	0.6250	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.7143	1.125	Y	1.0	  3/4 	0.7500	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 0.875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_0.875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.8393	1.125	Y	1.0	  7/8 	0.8750	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 X 1 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_2_X_1_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_2	0.086	56	0.0179	0.9643	1.125	Y	1.0	1      	1.0000	0.125	0.12	0.134	0.05	0.04	0.166	0.154	0.016	0.01	0.024	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 X 0.125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_3_X_0.125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_3	0.099	48	0.0208	0.1042	1.125	Y	1.0	  1/8 	0.1250	0.125	0.12	0.134	0.055	0.044	0.177	0.163	0.016	0.01	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 X 0.15625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_3_X_0.15625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_3	0.099	48	0.0208	0.1354	1.125	Y	1.0	  5/32	0.1563	0.125	0.12	0.134	0.055	0.044	0.177	0.163	0.016	0.01	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 X 0.1875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_3_X_0.1875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_3	0.099	48	0.0208	0.1667	1.125	Y	1.0	  3/16	0.1875	0.125	0.12	0.134	0.055	0.044	0.177	0.163	0.016	0.01	0.026	St	ASME B18.6.3	1998
