PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_dia_max(in)	H_dia_min(in)	R_head_radius(in)	J_slot_width_max(in)	J_slot_width_mix(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_1 x 1/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_1/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.109	1.125	Y	1.0	1/8	0.125	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 5/32 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_5/32_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.141	1.125	Y	1.0	5/32	0.156	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 3/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_3/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.172	1.125	Y	1.0	3/16	0.188	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.219	1.125	Y	1.0	1/4	0.25	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.281	1.125	Y	1.0	5/16	0.313	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.344	1.125	Y	1.0	3/8	0.375	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.406	1.125	Y	1.0	7/16	0.438	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.469	1.125	Y	1.0	1/2	0.5	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.531	1.125	Y	1.0	9/16	0.563	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.594	1.125	Y	1.0	5/8	0.625	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.719	1.125	Y	1.0	3/4	0.75	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.844	1.125	Y	1.0	7/8	0.875	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_1_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_1	0.073	64	0.0156	0.969	1.125	Y	1.0	1	1.0	0.142	0.13	0.046	0.038	0.025	0.026	0.019	0.027	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_1/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.107	1.125	Y	1.0	1/8	0.125	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 5/32 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_5/32_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.138	1.125	Y	1.0	5/32	0.156	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 3/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_3/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.17	1.125	Y	1.0	3/16	0.188	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.232	1.125	Y	1.0	1/4	0.25	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.277	1.125	Y	1.0	5/16	0.313	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.339	1.125	Y	1.0	3/8	0.375	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.402	1.125	Y	1.0	7/16	0.438	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.464	1.125	Y	1.0	1/2	0.5	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
