PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess(in)	T_recess_Depth(in)	N_recess_width(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_1 x 1/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_1/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.0664	1.125	Y	1.0	1/8	0.1250	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 5/32 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_5/32_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.0976	1.125	Y	1	5/32	0.1563	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 3/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_3/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.1289	1.125	Y	1	3/16	0.1875	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.1758	1.125	Y	1	1/4	0.2500	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.2383	1.125	Y	1	5/16	0.3125	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.3008	1.125	Y	1	3/8	0.3750	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.3633	1.125	Y	1	7/16	0.4375	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.4258	1.125	Y	1	1/2	0.5000	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.4883	1.125	Y	1	9/16	0.5625	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.5508	1.125	Y	1	5/8	0.6250	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.6758	1.125	Y	1	3/4	0.7500	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.8008	1.125	Y	1	7/8	0.8750	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_1 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_1_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_1	0.073	64	0.015625	0.9258	1.125	Y	1	1	1.0000	0.137	0.12	0.043	0.025	0.068	0.07	0.043	0.018	St	ASME B18.6.3	1998
