PartNumber	PartName	Pin_size_number(ref)	Basic_pin_dia	Length(ref)	L_length(in)	A_pin_dia_standard(in)	A_pin_dia_oversize(in)	B_point_dia(in)	C_crown_height(in)	R_end_crown_radius(in)	Material	Reference	Edition
ANSI B18.8.2 PIN 1/16x3/16 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/16x3/16_STEEL_GROUND_MACHINE_DOWEL_PIN	1/16	0.063	3/16	0.188	0.063	0.064	0.058	0.02	0.008	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/16x1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/16x1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	1/16	0.063	1/4	0.25	0.063	0.064	0.058	0.02	0.008	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/16x5/16 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/16x5/16_STEEL_GROUND_MACHINE_DOWEL_PIN	1/16	0.063	5/16	0.313	0.063	0.064	0.058	0.02	0.008	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/16x3/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/16x3/8_STEEL_GROUND_MACHINE_DOWEL_PIN	1/16	0.063	3/8	0.375	0.063	0.064	0.058	0.02	0.008	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/16x1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/16x1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	1/16	0.063	1/2	0.5	0.063	0.064	0.058	0.02	0.008	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/16x5/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/16x5/8_STEEL_GROUND_MACHINE_DOWEL_PIN	1/16	0.063	5/8	0.625	0.063	0.064	0.058	0.02	0.008	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/16x3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/16x3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	1/16	0.063	3/4	0.75	0.063	0.064	0.058	0.02	0.008	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/64x1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/64x1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	5/64	0.078	1/4	0.25	0.078	0.079	0.074	0.026	0.01	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/64x5/16 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/64x5/16_STEEL_GROUND_MACHINE_DOWEL_PIN	5/64	0.078	5/16	0.313	0.078	0.079	0.074	0.026	0.01	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/64x3/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/64x3/8_STEEL_GROUND_MACHINE_DOWEL_PIN	5/64	0.078	3/8	0.375	0.078	0.079	0.074	0.026	0.01	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/64x1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/64x1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	5/64	0.078	1/2	0.5	0.078	0.079	0.074	0.026	0.01	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/64x5/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/64x5/8_STEEL_GROUND_MACHINE_DOWEL_PIN	5/64	0.078	5/8	0.625	0.078	0.079	0.074	0.026	0.01	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/64x3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/64x3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	5/64	0.078	3/4	0.75	0.078	0.079	0.074	0.026	0.01	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/64x7/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/64x7/8_STEEL_GROUND_MACHINE_DOWEL_PIN	5/64	0.078	7/8	0.875	0.078	0.079	0.074	0.026	0.01	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/32x5/16 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/32x5/16_STEEL_GROUND_MACHINE_DOWEL_PIN	3/32	0.094	5/16	0.313	0.094	0.095	0.089	0.031	0.012	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/32x3/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/32x3/8_STEEL_GROUND_MACHINE_DOWEL_PIN	3/32	0.094	3/8	0.375	0.094	0.095	0.089	0.031	0.012	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/32x1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/32x1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	3/32	0.094	1/2	0.5	0.094	0.095	0.089	0.031	0.012	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/32x5/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/32x5/8_STEEL_GROUND_MACHINE_DOWEL_PIN	3/32	0.094	5/8	0.625	0.094	0.095	0.089	0.031	0.012	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/32x3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/32x3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	3/32	0.094	3/4	0.75	0.094	0.095	0.089	0.031	0.012	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/32x7/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/32x7/8_STEEL_GROUND_MACHINE_DOWEL_PIN	3/32	0.094	7/8	0.875	0.094	0.095	0.089	0.031	0.012	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/32x1 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/32x1_STEEL_GROUND_MACHINE_DOWEL_PIN	3/32	0.094	1.0	1.0	0.094	0.095	0.089	0.031	0.012	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/8x3/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x3/8_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	3/8	0.375	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/8x1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	1/2	0.5	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/8x5/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x5/8_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	5/8	0.625	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/8x3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	3/4	0.75	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/8x7/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x7/8_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	7/8	0.875	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/8x1 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x1_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	1.0	1.0	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/8x1_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x1_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	1_1/4	1.25	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/8x1_1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x1_1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	1_1/2	1.5	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/8x1_3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x1_3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	1_3/4	1.75	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
