PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	R_corner_radius(in)	Material	Reference	Edition
ASME B18.8.2 PIN 1/16 x 3/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_3/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	3/16	0.188	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 1/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_1/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	1/4	0.25	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 5/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_5/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	5/16	0.313	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 3/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_3/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	3/8	0.375	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 7/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_7/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	7/16	0.438	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 1/2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_1/2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	1/2	0.5	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 9/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_9/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	9/16	0.563	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 5/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_5/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	5/8	0.625	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 11/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_11/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	11/16	0.688	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 3/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_3/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	3/4	0.75	0.02	St	ASME B18.8.2	2000
