PartNumber	PartName	Nominal_size(ref)	Basic_pin_dia(in)	Length(ref)	L_length(in)	A_pin_dia(in)	B_chamfer_dia(in)	C_chamfer_length(in)	F_stock_thickness(in)	Hole_size(in)	Material	Reference	Edition
ASME B18.8.2 STEEL SPRING PIN 1/16 X 3/16 SLOTTED TYPE	ASME_B18_8_2_1/16_X_3/16_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	3/16	0.188	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 1/4 SLOTTED TYPE	ASME_B18_8_2_1/16_X_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	1/4	0.25	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 5/16 SLOTTED TYPE	ASME_B18_8_2_1/16_X_5/16_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	5/16	0.313	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 3/8 SLOTTED TYPE	ASME_B18_8_2_1/16_X_3/8_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	3/8	0.375	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 7/16 SLOTTED TYPE	ASME_B18_8_2_1/16_X_7/16_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	7/16	0.438	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 1/2 SLOTTED TYPE	ASME_B18_8_2_1/16_X_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	1/2	0.5	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 9/16 SLOTTED TYPE	ASME_B18_8_2_1/16_X_9/16_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	9/16	0.563	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 5/8 SLOTTED TYPE	ASME_B18_8_2_1/16_X_5/8_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	5/8	0.625	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 11/16 SLOTTED TYPE	ASME_B18_8_2_1/16_X_11/16_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	11/16	0.688	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 3/4 SLOTTED TYPE	ASME_B18_8_2_1/16_X_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	3/4	0.75	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 13/16 SLOTTED TYPE	ASME_B18_8_2_1/16_X_13/16_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	13/16	0.813	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 7/8 SLOTTED TYPE	ASME_B18_8_2_1/16_X_7/8_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	7/8	0.875	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 15/16 SLOTTED TYPE	ASME_B18_8_2_1/16_X_15/16_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	15/16	0.938	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/16 X 1 SLOTTED TYPE	ASME_B18_8_2_1/16_X_1_SLOTTED_TYPE_STEEL_SPRING_PIN	1/16	0.062	1.0	1.0	0.069	0.059	0.028	0.012	0.065	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/64 X 3/16 SLOTTED TYPE	ASME_B18_8_2_5/64_X_3/16_SLOTTED_TYPE_STEEL_SPRING_PIN	5/64	0.078	3/16	0.188	0.086	0.075	0.032	0.018	0.081	St	ASME B18.8.2	2000
