PartNumber	PartName	Pin_size_no(ref)	Basic_pin_dia(in)	Nominal_length(ref)	Length(in)	A_major_dia(in)	A_major_dia_commercial_class(in)	A_major_dia_precision_class(in)	R_end_crown_radius(in)	Class	Material	Reference	Edition
ASME B18.8.2 Pin 7/0 x 1/4 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_7/0x1/4_STEEL_COMMERCIAL_CLASS_TAPER_PIN	7/0	0.063	1/4	0.25	0.064	0.064	n/a	0.072	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7/0 x 3/8 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_7/0x3/8_STEEL_COMMERCIAL_CLASS_TAPER_PIN	7/0	0.063	3/8	0.375	0.064	0.064	n/a	0.072	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7/0 x 1/2 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_7/0x1/2_STEEL_COMMERCIAL_CLASS_TAPER_PIN	7/0	0.063	1/2	0.5	0.064	0.064	n/a	0.072	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7/0 x 5/8 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_7/0x5/8_STEEL_COMMERCIAL_CLASS_TAPER_PIN	7/0	0.063	5/8	0.625	0.064	0.064	n/a	0.072	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7/0 x 3/4 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_7/0x3/4_STEEL_COMMERCIAL_CLASS_TAPER_PIN	7/0	0.063	3/4	0.75	0.064	0.064	n/a	0.072	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7/0 x 7/8 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_7/0x7/8_STEEL_COMMERCIAL_CLASS_TAPER_PIN	7/0	0.063	7/8	0.875	0.064	0.064	n/a	0.072	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7/0 x 1 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_7/0x1_STEEL_COMMERCIAL_CLASS_TAPER_PIN	7/0	0.063	1	1.0	0.064	0.064	n/a	0.072	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6/0 x 1/4 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_6/0x1/4_STEEL_COMMERCIAL_CLASS_TAPER_PIN	6/0	0.078	1/4	0.25	0.079	0.079	n/a	0.088	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6/0 x 3/8 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_6/0x3/8_STEEL_COMMERCIAL_CLASS_TAPER_PIN	6/0	0.078	3/8	0.375	0.079	0.079	n/a	0.088	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6/0 x 1/2 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_6/0x1/2_STEEL_COMMERCIAL_CLASS_TAPER_PIN	6/0	0.078	1/2	0.5	0.079	0.079	n/a	0.088	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6/0 x 5/8 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_6/0x5/8_STEEL_COMMERCIAL_CLASS_TAPER_PIN	6/0	0.078	5/8	0.625	0.079	0.079	n/a	0.088	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6/0 x 3/4 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_6/0x3/4_STEEL_COMMERCIAL_CLASS_TAPER_PIN	6/0	0.078	3/4	0.75	0.079	0.079	n/a	0.088	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6/0 x 7/8 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_6/0x7/8_STEEL_COMMERCIAL_CLASS_TAPER_PIN	6/0	0.078	7/8	0.875	0.079	0.079	n/a	0.088	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6/0 x 1 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_6/0x1_STEEL_COMMERCIAL_CLASS_TAPER_PIN	6/0	0.078	1	1.0	0.079	0.079	n/a	0.088	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6/0 x 1_1/4 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_6/0x1_1/4_STEEL_COMMERCIAL_CLASS_TAPER_PIN	6/0	0.078	1_1/4	1.25	0.079	0.079	n/a	0.088	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6/0 x 1_1/2 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_6/0x1_1/2_STEEL_COMMERCIAL_CLASS_TAPER_PIN	6/0	0.078	1_1/2	1.5	0.079	0.079	n/a	0.088	COMMERCIAL	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5/0 x 1/4 STEEL TAPER COMMERCIAL CLASS	ASME_B18_8_2_5/0x1/4_STEEL_COMMERCIAL_CLASS_TAPER_PIN	5/0	0.094	1/4	0.25	0.095	0.095	n/a	0.104	COMMERCIAL	St	ASME B18.8.2	2000
