PartNumber	PartName	Nominal_dia(mm)	A_id_max(mm)	A_id_min(mm)	B_od_max(mm)	B_od_min(mm)	C_thick_max(mm)	C_thick_min(mm)	Type	Material	Reference	Edition
ANSI_B18.22M WASHER 1.6x4 STEEL PLAIN	ANSI_B18_22_1.6x4_STEEL_PLAIN_WASHER	1.6	2.09	1.95	4.0	3.7	0.7	0.5	Narrow	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 1.6x5 STEEL PLAIN	ANSI_B18_22_1.6x5_STEEL_PLAIN_WASHER	1.6	2.09	1.95	5.0	4.7	0.7	0.5	Regular	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 1.6x6 STEEL PLAIN	ANSI_B18_22_1.6x6_STEEL_PLAIN_WASHER	1.6	2.09	1.95	6.0	5.7	0.9	0.6	Wide	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 2x5 STEEL PLAIN	ANSI_B18_22_2x5_STEEL_PLAIN_WASHER	2.0	2.64	2.5	5.0	4.7	0.9	0.6	Narrow	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 2x6 STEEL PLAIN	ANSI_B18_22_2x6_STEEL_PLAIN_WASHER	2.0	2.64	2.5	6.0	5.7	0.9	0.6	Regular	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 2x8 STEEL PLAIN	ANSI_B18_22_2x8_STEEL_PLAIN_WASHER	2.0	2.64	2.5	8.0	7.64	0.9	0.6	Wide	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 2.5x6 STEEL PLAIN	ANSI_B18_22_2.5x6_STEEL_PLAIN_WASHER	2.5	3.14	3.0	6.0	5.7	0.9	0.6	Narrow	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 2.5x8 STEEL PLAIN	ANSI_B18_22_2.5x8_STEEL_PLAIN_WASHER	2.5	3.14	3.0	8.0	7.64	0.9	0.6	Regular	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 2.5x10 STEEL PLAIN	ANSI_B18_22_2.5x10_STEEL_PLAIN_WASHER	2.5	3.14	3.0	10.0	9.64	1.2	0.8	Wide	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 3x7 STEEL PLAIN	ANSI_B18_22_3x7_STEEL_PLAIN_WASHER	3.0	3.68	3.5	7.0	6.64	0.9	0.6	Narrow	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 3x10 STEEL PLAIN	ANSI_B18_22_3x10_STEEL_PLAIN_WASHER	3.0	3.68	3.5	10.0	9.64	1.2	0.8	Regular	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 3x12 STEEL PLAIN	ANSI_B18_22_3x12_STEEL_PLAIN_WASHER	3.0	3.68	3.5	12.0	11.57	1.4	1.0	Wide	St	ANSI B18.22M	1981
ANSI_B18.22M WASHER 3.5x9 STEEL PLAIN	ANSI_B18_22_3.5x9_STEEL_PLAIN_WASHER	3.5	4.18	4.0	9.0	8.64	1.2	0.8	Narrow	St	ANSI B18.22M	1981
