PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_screw_length(mm)	A_max(mm)	B_thread_length(mm)	full_part	Lg_max(mm)	Ds_screw_dia_min(mm)	S_across_flats_min(mm)	S_across_flats_max(mm)	E_across_corners_min(mm)	E_across_corners_max(mm)	K_head_hgt_min(mm)	K_head_hgt_max(mm)	Kw_wrench_hgt(mm)	C_wash_face_min(mm)	C_wash_face_max(mm)	Dw_washer_face_dia(mm)	r_min(mm)	Material	Reference	Edition
ANSI B18.2.3.1M SCREW M5x8 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M5x8_STEEL_HEX_CAP_SCREW_NONPREFERRED	M5	5.0	0.8	6.8	8.0	1.2	16.0	full	0.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x55 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M5x55_STEEL_HEX_CAP_SCREW_NONPREFERRED	M5	5.0	0.8	16.0	55.0	0.0	16.0	part	39.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x10 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M6x10_STEEL_HEX_CAP_SCREW_NONPREFERRED	M6	6.0	1.0	8.5	10.0	1.5	18.0	full	0.0	5.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x65 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M6x65_STEEL_HEX_CAP_SCREW_NONPREFERRED	M6	6.0	1.0	18.0	65.0	0.0	18.0	part	47.0	5.82	9.78	10.0	11.05	11.55	3.85	4.15	2.8	0.2	0.5	8.9	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x70 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M6x70_STEEL_HEX_CAP_SCREW_NONPREFERRED	M6	6.0	1.0	18.0	70.0	0.0	18.0	part	52.0	5.82	9.78	10.0	11.05	11.55	3.85	4.15	2.8	0.2	0.5	8.9	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x12 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M8x12_STEEL_HEX_CAP_SCREW_NONPREFERRED	M8	8.0	1.25	10.1	12.0	1.9	22.0	full	0.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x90 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M8x90_STEEL_HEX_CAP_SCREW_NONPREFERRED	M8	8.0	1.25	22.0	90.0	0.0	22.0	part	68.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x100 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M8x100_STEEL_HEX_CAP_SCREW_NONPREFERRED	M8	8.0	1.25	22.0	100.0	0.0	22.0	part	78.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x16 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M10x16_STEEL_HEX_CAP_SCREW_NONPREFERRED	M10	10.0	1.5	13.8	16.0	2.2	26.0	full	0.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x110 STEEL HEX CAP NONPREFERRED 	ANSI_B18_2_3_1M_M10x110_STEEL_HEX_CAP_SCREW_NONPREFERRED	M10	10.0	1.5	26.0	110.0	0.0	26.0	part	84.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
