PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M5x8 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x8_STEEL_HEXAGON_BOLT	M5	5.0	0.8	6.0	5.48	4.52	8.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x10 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x10_STEEL_HEXAGON_BOLT	M5	5.0	0.8	8.0	5.48	4.52	10.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x12 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x12_STEEL_HEXAGON_BOLT	M5	5.0	0.8	10.0	5.48	4.52	12.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x14 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x14_STEEL_HEXAGON_BOLT	M5	5.0	0.8	12.0	5.48	4.52	14.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x16 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x16_STEEL_HEXAGON_BOLT	M5	5.0	0.8	14.0	5.48	4.52	16.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x20 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x20_STEEL_HEXAGON_BOLT	M5	5.0	0.8	16.0	5.48	4.52	20.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x25 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x25_STEEL_HEXAGON_BOLT	M5	5.0	0.8	16.0	5.48	4.52	25.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x30 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x30_STEEL_HEXAGON_BOLT	M5	5.0	0.8	16.0	5.48	4.52	30.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x35 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x35_STEEL_HEXAGON_BOLT	M5	5.0	0.8	16.0	5.48	4.52	35.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x40_STEEL_HEXAGON_BOLT	M5	5.0	0.8	16.0	5.48	4.52	40.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x45_STEEL_HEXAGON_BOLT	M5	5.0	0.8	16.0	5.48	4.52	45.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M5x50_STEEL_HEXAGON_BOLT	M5	5.0	0.8	16.0	5.48	4.52	50.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x10 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x10_STEEL_HEXAGON_BOLT	M6	6.0	1.0	7.5	6.19	5.52	10.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x12 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x12_STEEL_HEXAGON_BOLT	M6	6.0	1.0	9.5	6.19	5.52	12.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x14 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x14_STEEL_HEXAGON_BOLT	M6	6.0	1.0	11.5	6.19	5.52	14.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x16 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x16_STEEL_HEXAGON_BOLT	M6	6.0	1.0	13.5	6.19	5.52	16.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x20 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x20_STEEL_HEXAGON_BOLT	M6	6.0	1.0	17.5	6.19	5.52	20.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x25 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x25_STEEL_HEXAGON_BOLT	M6	6.0	1.0	18.0	6.19	5.52	25.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x30 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x30_STEEL_HEXAGON_BOLT	M6	6.0	1.0	18.0	6.19	5.52	30.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x35 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x35_STEEL_HEXAGON_BOLT	M6	6.0	1.0	18.0	6.19	5.52	35.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x40_STEEL_HEXAGON_BOLT	M6	6.0	1.0	18.0	6.19	5.52	40.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x45_STEEL_HEXAGON_BOLT	M6	6.0	1.0	18.0	6.19	5.52	45.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x50_STEEL_HEXAGON_BOLT	M6	6.0	1.0	18.0	6.19	5.52	50.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M6x60_STEEL_HEXAGON_BOLT	M6	6.0	1.0	18.0	6.19	5.52	60.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x14 STEEL HEXAGON	ANSI_B18_2_3_5M_M8x14_STEEL_HEXAGON_BOLT	M8	8.0	1.25	10.875	8.58	7.42	14.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x16 STEEL HEXAGON	ANSI_B18_2_3_5M_M8x16_STEEL_HEXAGON_BOLT	M8	8.0	1.25	12.875	8.58	7.42	16.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x20 STEEL HEXAGON	ANSI_B18_2_3_5M_M8x20_STEEL_HEXAGON_BOLT	M8	8.0	1.25	16.875	8.58	7.42	20.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x25 STEEL HEXAGON	ANSI_B18_2_3_5M_M8x25_STEEL_HEXAGON_BOLT	M8	8.0	1.25	21.875	8.58	7.42	25.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x30 STEEL HEXAGON	ANSI_B18_2_3_5M_M8x30_STEEL_HEXAGON_BOLT	M8	8.0	1.25	22.0	8.58	7.42	30.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x35 STEEL HEXAGON	ANSI_B18_2_3_5M_M8x35_STEEL_HEXAGON_BOLT	M8	8.0	1.25	22.0	8.58	7.42	35.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M8x40_STEEL_HEXAGON_BOLT	M8	8.0	1.25	22.0	8.58	7.42	40.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M8x45_STEEL_HEXAGON_BOLT	M8	8.0	1.25	22.0	8.58	7.42	45.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	St	ANSI B18.2.3.5M	1979
