PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	d_sh_dia_max(mm)	d_sh_dia_min(mm)	d_body_dia_max(mm)	d_body_dia_min(mm)	l_sh_max(mm)	l_sh_min(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M5x25 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M5x25_STEEL_HEX_SHOULDER_BOLT	M5	5.0	0.8	16.0	5.48	4.52	25.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	5.48	4.52	4.46	4.36	3.5	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x30 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M5x30_STEEL_HEX_SHOULDER_BOLT	M5	5.0	0.8	16.0	5.48	4.52	30.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	5.48	4.52	4.46	4.36	3.5	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x35 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M5x35_STEEL_HEX_SHOULDER_BOLT	M5	5.0	0.8	16.0	5.48	4.52	35.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	5.48	4.52	4.46	4.36	3.5	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x40 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M5x40_STEEL_HEX_SHOULDER_BOLT	M5	5.0	0.8	16.0	5.48	4.52	40.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	5.48	4.52	4.46	4.36	3.5	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x45 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M5x45_STEEL_HEX_SHOULDER_BOLT	M5	5.0	0.8	16.0	5.48	4.52	45.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	5.48	4.52	4.46	4.36	3.5	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M5x50 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M5x50_STEEL_HEX_SHOULDER_BOLT	M5	5.0	0.8	16.0	5.48	4.52	50.0	16.0	8.0	7.64	9.24	8.63	3.58	3.35	2.4	0.2	5.48	4.52	4.46	4.36	3.5	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x30 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M6x30_STEEL_HEX_SHOULDER_BOLT	M6	6.0	1.0	18.0	6.19	5.52	30.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	6.48	5.52	5.39	5.21	4.0	3.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x35 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M6x35_STEEL_HEX_SHOULDER_BOLT	M6	6.0	1.0	18.0	6.19	5.52	35.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	6.48	5.52	5.39	5.21	4.0	3.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x40 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M6x40_STEEL_HEX_SHOULDER_BOLT	M6	6.0	1.0	18.0	6.19	5.52	40.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	6.48	5.52	5.39	5.21	4.0	3.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x45 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M6x45_STEEL_HEX_SHOULDER_BOLT	M6	6.0	1.0	18.0	6.19	5.52	45.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	6.48	5.52	5.39	5.21	4.0	3.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x50 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M6x50_STEEL_HEX_SHOULDER_BOLT	M6	6.0	1.0	18.0	6.19	5.52	50.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	6.48	5.52	5.39	5.21	4.0	3.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M6x60 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M6x60_STEEL_HEX_SHOULDER_BOLT	M6	6.0	1.0	18.0	6.19	5.52	60.0	18.0	10.0	9.64	11.55	10.89	4.38	3.55	2.8	0.3	6.48	5.52	5.39	5.21	4.0	3.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x35 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M8x35_STEEL_HEX_SHOULDER_BOLT	M8	8.0	1.25	22.0	8.58	7.42	35.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	8.58	7.42	7.26	7.04	5.0	4.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x40 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M8x40_STEEL_HEX_SHOULDER_BOLT	M8	8.0	1.25	22.0	8.58	7.42	40.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	8.58	7.42	7.26	7.04	5.0	4.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x45 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M8x45_STEEL_HEX_SHOULDER_BOLT	M8	8.0	1.25	22.0	8.58	7.42	45.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	8.58	7.42	7.26	7.04	5.0	4.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x50 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M8x50_STEEL_HEX_SHOULDER_BOLT	M8	8.0	1.25	22.0	8.58	7.42	50.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	8.58	7.42	7.26	7.04	5.0	4.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x60 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M8x60_STEEL_HEX_SHOULDER_BOLT	M8	8.0	1.25	22.0	8.58	7.42	60.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	8.58	7.42	7.26	7.04	5.0	4.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x70 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M8x70_STEEL_HEX_SHOULDER_BOLT	M8	8.0	1.25	22.0	8.58	7.42	70.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	8.58	7.42	7.26	7.04	5.0	4.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M8x80 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M8x80_STEEL_HEX_SHOULDER_BOLT	M8	8.0	1.25	22.0	8.58	7.42	80.0	22.0	13.0	12.57	15.01	14.2	5.68	5.1	3.7	0.4	8.58	7.42	7.26	7.04	5.0	4.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x40 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x40_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	40.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x45 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x45_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	45.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x50 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x50_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	50.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x60 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x60_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	60.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x70 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x70_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	70.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x80 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x80_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	80.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
