PartNumber	PartName	Ring_Series_&_Size_No	S_Shaft_dia(mm)	D_free_dia(mm)	t_thickness(mm)	P_hole_dia(mm)	B_lug(mm)	E_large_section(mm)	J_small_section(mm)	G_Groove_dia(mm)	Material	Reference	Edition
ANSI B27.7M RING 3AM1_7 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_7_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_7	7.0	6.35	0.6	1.0	2.05	0.9	0.6	6.6	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_8 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_8_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_8	8.0	7.15	0.6	1.0	2.2	1.0	0.65	7.5	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_9 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_9_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_9	9.0	8.15	0.6	1.0	2.2	1.15	0.75	8.45	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_10 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_10_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_10	10.0	9.0	0.6	1.0	2.2	1.3	0.8	9.4	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_11 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_11_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_11	11.0	10.0	0.6	1.0	2.2	1.4	0.85	10.35	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_12 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_12_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_12	12.0	10.85	0.6	1.0	2.2	1.5	0.9	11.35	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_13 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_13_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_13	13.0	11.9	0.9	1.2	2.8	1.6	0.95	12.3	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_14 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_14_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_14	14.0	12.9	0.9	1.2	2.8	1.7	1.0	13.25	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_15 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_15_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_15	15.0	13.8	0.9	1.2	2.8	1.8	1.05	14.15	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_16 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_16_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_16	16.0	14.7	0.9	1.2	2.8	2.05	1.15	15.1	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_17 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_17_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_17	17.0	15.75	0.9	1.2	2.8	2.1	1.15	16.1	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_18 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_18_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_18	18.0	16.65	1.1	1.3	3.45	2.25	1.25	17.0	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_19 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_19_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_19	19.0	17.6	1.1	1.3	3.45	2.35	1.3	17.95	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_20 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_20_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_20	20.0	18.35	1.1	1.3	3.45	2.4	1.35	18.85	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_21 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_21_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_21	21.0	19.4	1.1	1.3	3.45	2.5	1.4	19.8	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_22 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_22_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_22	22.0	20.3	1.1	1.3	3.45	2.7	1.5	20.7	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_23 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_23_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_23	23.0	21.25	1.1	1.3	3.45	2.8	1.6	21.65	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_24 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_24_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_24	24.0	22.2	1.1	1.9	4.2	2.9	1.6	22.6	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_25 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_25_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_25	25.0	23.1	1.1	1.9	4.2	2.9	1.7	23.5	St	ANSI B27.7M	1977
ANSI B27.7M RING 3AM1_26 STEEL EXTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3AM1_26_STEEL_EXTERNAL_BASIC_DUTY_RETAINING_RING	3AM1_26	26.0	24.05	1.1	1.9	4.2	3.0	1.7	24.5	St	ANSI B27.7M	1977
