PartNumber	PartName	Ring_Series_&_Size_No	S_shaft_dia(mm)	D_free_dia(mm)	t_thickness(mm)	P_hole_dia(mm)	B_lug(mm)	E_large_section(mm)	J_small_section(mm)	G_groove_dia(mm)	Material	Reference	Edition
ANSI B27.7M RING 3BM1_52 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_52_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_52	52.0	57.9	2.0	2.3	6.4	4.7	2.3	55.3	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_55 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_55_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_55	55.0	61.1	2.0	2.3	6.7	5.1	2.5	58.4	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_57 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_57_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_57	57.0	63.25	2.0	2.3	6.9	5.2	2.5	60.5	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_58 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_58_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_58	58.0	64.4	2.0	2.3	6.9	5.3	2.6	61.6	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_60 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_60_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_60	60.0	66.8	2.0	2.3	6.9	5.3	2.6	63.8	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_62 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_62_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_62	62.0	68.6	2.0	2.7	7.1	5.3	2.6	65.8	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_63 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_63_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_63	63.0	69.9	2.0	2.7	7.1	5.4	2.7	66.9	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_65 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_65_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_65	65.0	72.2	2.4	2.7	7.4	5.6	2.8	69.0	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_68 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_68_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_68	68.0	75.7	2.4	2.7	7.6	5.8	2.9	72.2	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_70 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_70_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_70	70.0	77.5	2.4	2.7	7.6	5.8	2.9	74.4	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_72 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_72_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_72	72.0	79.6	2.4	2.7	7.6	5.8	2.9	76.5	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_75 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_75_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_75	75.0	83.3	2.4	2.7	7.9	6.2	3.1	79.7	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_78 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_78_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_78	78.0	86.8	2.8	3.1	7.9	6.5	3.2	82.8	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_80 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_80_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_80	80.0	89.1	2.8	3.1	7.9	6.7	3.3	85.0	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_82 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_82_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_82	82.0	91.1	2.8	3.1	8.7	6.9	3.4	87.2	St	ANSI B27.7M	1977
