PartNumber	PartName	Ring_Series_&_Size_No	S_Shaft_dia(mm)	D_free_dia(mm)	t_thickness(mm)	P_hole_dia(mm)	B_lug(mm)	E_large_section(mm)	J_small_section(mm)	G_Groove_dia(mm)	Material	Reference	Edition
ANSI B27.7M RING 3BM1_8 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_8_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_8	8.0	8.8	0.4	0.8	1.7	0.85	0.45	8.4	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_9 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_9_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_9	9.0	10.0	0.6	1.0	2.1	1.25	0.65	9.45	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_10 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_10_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_10	10.0	11.1	0.6	1.0	2.1	1.3	0.7	10.5	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_11 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_11_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_11	11.0	12.2	0.6	1.0	2.5	1.3	0.7	11.6	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_12 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_12_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_12	12.0	13.3	0.6	1.0	2.5	1.35	0.75	12.65	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_13 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_13_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_13	13.0	14.25	0.9	1.2	2.9	1.35	0.9	13.7	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_14 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_14_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_14	14.0	15.45	0.9	1.2	3.3	1.6	0.9	14.8	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_15 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_15_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_15	15.0	16.6	0.9	1.5	3.3	1.65	0.95	15.85	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_16 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_16_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_16	16.0	17.7	0.9	1.5	3.4	1.7	0.95	16.9	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_17 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_17_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_17	17.0	18.9	0.9	1.5	3.4	1.7	0.95	18.0	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_18 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_18_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_18	18.0	20.05	0.9	1.5	3.6	1.8	1.0	19.05	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_19 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_19_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_19	19.0	21.1	0.9	1.5	3.6	1.8	1.0	20.1	St	ANSI B27.7M	1977
ANSI B27.7M RING 3BM1_20 STEEL INTERNAL BASIC DUTY RETAINING	ANSI_B27_7M_3BM1_20_STEEL_INTERNAL_BASIC_DUTY_RETAINING_RING	3BM1_20	20.0	22.25	0.9	1.5	4.0	2.0	1.1	21.15	St	ANSI B27.7M	1977
