PartNumber	PartName	Ring_Series_&_Size_No	S_Shaft_dia(mm)	D_free_dia(mm)	t_thickness(mm)	Y_Outer_dia(mm)	E_Bridge(mm)	G_Groove_dia(mm)	Material	Reference	Edition
ANSI B27.8M RING 3EM1_4 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_4_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_4	4.0	2.9	0.6	8.5	1.5	3.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_5 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_5_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_5	5.0	3.65	0.6	9.5	1.9	3.85	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_6 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_6_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_6	6.0	4.65	0.6	11.35	2.2	4.85	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_7 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_7_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_7	7.0	5.2	0.6	13.1	2.5	5.4	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_8 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_8_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_8	8.0	6.15	0.6	14.95	2.7	6.4	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_9 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_9_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_9	9.0	6.75	0.9	15.7	2.8	7.1	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_10 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_10_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_10	10.0	7.45	0.9	16.75	3.0	7.8	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_11 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_11_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_11	11.0	8.45	0.9	18.95	3.4	8.8	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_12 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_12_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_12	12.0	9.1	1.1	19.6	3.5	9.5	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_13 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_13_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_13	13.0	9.8	1.1	20.55	3.6	10.2	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_14 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_14_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_14	14.0	10.9	1.1	22.1	3.8	11.2	St	ANSI B27.8M	1978
ANSI B27.8M RING 3EM1_15 STEEL EXTERNAL REINFORCED RETAINING E RING	ANSI_B27_8M_3EM1_15_STEEL_EXTERNAL_REINFORCED_RETAINING_E_RING	3EM1_15	15.0	11.5	1.1	23.2	3.9	11.8	St	ANSI B27.8M	1978
