PartNumber	PartName	Ring_Series_&_Size_No	S_Shaft_dia(mm)	D_free_dia(mm)	t_thickness(mm)	Y_Outer_dia(mm)	E_large_section(mm)	G_Groove_dia(mm)	Material	Reference	Edition
ANSI B27.8M RING 3FM1_3 B2 EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_3_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_3	3.0	2.18	0.4	3.98	0.9	2.3	St	ANSI B27.8M	1978
ANSI B27.8M RING 3FM1_4 STEEL EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_4_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_4	4.0	3.0	0.4	5.0	1.0	3.2	St	ANSI B27.8M	1978
ANSI B27.8M RING 3FM1_5 STEEL EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_5_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_5	5.0	3.8	0.6	6.2	1.2	4.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3FM1_6 STEEL EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_6_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_6	6.0	4.8	0.6	7.4	1.3	5.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3FM1_7 STEEL EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_7_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_7	7.0	5.8	0.6	8.6	1.4	6.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3FM1_8 STEEL EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_8_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_8	8.0	6.8	0.6	10.0	1.6	7.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3FM1_9 STEEL EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_9_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_9	9.0	7.8	0.6	11.2	1.7	8.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3FM1_10 STEEL EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_10_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_10	10.0	8.75	0.6	12.15	1.7	9.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3FM1_11 STEEL EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_11_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_11	11.0	9.65	0.6	13.2	1.8	10.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3FM1_12 STEEL EXTERNAL RETAINING C RING	ANSI_B27_8M_3FM1_12_STEEL_EXTERNAL_RETAINING_C_RING	3FM1_12	12.0	10.55	0.6	14.35	1.9	10.9	St	ANSI B27.8M	1978
