PartNumber	PartName	Ring_Series_&_Size_No	S_Shaft_dia(mm)	D_free_dia(mm)	t_thickness(mm)	P_hole_dia(mm)	B_lug(mm)	E_large_section(mm)	J_small_section(mm)	G_Groove_dia(mm)	Material	Reference	Edition
ANSI B27.8M RING 3DM1_10 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_10_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_10	10.0	9.2	0.9	1.0	2.6	1.7	1.0	9.4	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_11 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_11_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_11	11.0	10.0	0.9	1.0	2.6	1.9	1.1	10.3	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_12 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_12_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_12	12.0	11.05	1.1	1.0	2.6	2.2	1.3	11.3	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_13 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_13_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_13	13.0	11.8	1.3	1.2	3.0	2.3	1.3	12.2	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_14 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_14_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_14	14.0	12.8	1.3	1.2	3.0	2.4	1.4	13.15	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_15 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_15_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_15	15.0	13.8	1.3	1.2	3.3	2.6	1.4	14.1	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_16 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_16_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_16	16.0	14.7	1.3	1.2	3.3	2.7	1.5	15.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_17 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_17_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_17	17.0	15.65	1.3	1.2	3.3	2.8	1.6	15.95	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_18 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_18_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_18	18.0	16.55	1.6	1.9	4.1	3.0	1.8	16.85	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_19 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_19_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_19	19.0	17.5	2.0	1.9	4.6	3.2	2.0	17.8	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_20 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_20_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_20	20.0	18.45	2.0	1.9	4.6	3.4	2.0	18.75	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_22 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_22_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_22	22.0	20.4	2.0	1.9	4.6	3.8	2.1	20.7	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_25 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_25_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_25	25.0	23.1	2.0	1.9	4.6	3.8	2.1	23.5	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_27 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_27_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_27	27.0	24.854	2.4	2.3	5.6	4.1	2.3	25.4	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_28 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_28_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_28	28.0	25.7	2.4	2.3	5.6	4.3	2.4	26.3	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_30 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_30_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_30	30.0	27.6	2.4	2.3	5.6	4.5	2.5	28.2	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_32 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_32_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_32	32.0	29.35	2.4	2.3	5.6	4.7	2.6	30.0	St	ANSI B27.8M	1978
ANSI B27.8M RING 3DM1_35 STEEL EXTERNAL HEAVY DUTY RETAINING	ANSI_B27_8M_3DM1_35_STEEL_EXTERNAL_HEAVY_DUTY_RETAINING_RING	3DM1_35	35.0	32.2	2.4	2.3	5.6	5.1	2.8	32.8	St	ANSI B27.8M	1978
