PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	s_chamfer(mm)	Style	Material	Reference	Edition
ASME B18.25.1M KEY 5x3x10 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x10_STEEL_STYLE_C_RECTANGULAR_KEY	10.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x12 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x12_STEEL_STYLE_C_RECTANGULAR_KEY	12.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x14 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x14_STEEL_STYLE_C_RECTANGULAR_KEY	14.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x16 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x16_STEEL_STYLE_C_RECTANGULAR_KEY	16.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x18 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x18_STEEL_STYLE_C_RECTANGULAR_KEY	18.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x20 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x20_STEEL_STYLE_C_RECTANGULAR_KEY	20.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x22 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x22_STEEL_STYLE_C_RECTANGULAR_KEY	22.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x25 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x25_STEEL_STYLE_C_RECTANGULAR_KEY	25.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x28 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x28_STEEL_STYLE_C_RECTANGULAR_KEY	28.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x32 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x32_STEEL_STYLE_C_RECTANGULAR_KEY	32.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x36 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x36_STEEL_STYLE_C_RECTANGULAR_KEY	36.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x40 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x40_STEEL_STYLE_C_RECTANGULAR_KEY	40.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x45 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x45_STEEL_STYLE_C_RECTANGULAR_KEY	45.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x50 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x50_STEEL_STYLE_C_RECTANGULAR_KEY	50.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x3x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_5x3x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	5.0	3.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x14 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x14_STEEL_STYLE_C_RECTANGULAR_KEY	14.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x16 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x16_STEEL_STYLE_C_RECTANGULAR_KEY	16.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x18 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x18_STEEL_STYLE_C_RECTANGULAR_KEY	18.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x20 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x20_STEEL_STYLE_C_RECTANGULAR_KEY	20.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x22 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x22_STEEL_STYLE_C_RECTANGULAR_KEY	22.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x25 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x25_STEEL_STYLE_C_RECTANGULAR_KEY	25.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x28 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x28_STEEL_STYLE_C_RECTANGULAR_KEY	28.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x32 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x32_STEEL_STYLE_C_RECTANGULAR_KEY	32.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x36 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x36_STEEL_STYLE_C_RECTANGULAR_KEY	36.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x40 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x40_STEEL_STYLE_C_RECTANGULAR_KEY	40.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x45 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x45_STEEL_STYLE_C_RECTANGULAR_KEY	45.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x50 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x50_STEEL_STYLE_C_RECTANGULAR_KEY	50.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 6x4x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_6x4x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	6.0	4.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x18 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x18_STEEL_STYLE_C_RECTANGULAR_KEY	18.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x20 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x20_STEEL_STYLE_C_RECTANGULAR_KEY	20.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x22 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x22_STEEL_STYLE_C_RECTANGULAR_KEY	22.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x25 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x25_STEEL_STYLE_C_RECTANGULAR_KEY	25.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x28 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x28_STEEL_STYLE_C_RECTANGULAR_KEY	28.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x32 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x32_STEEL_STYLE_C_RECTANGULAR_KEY	32.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x36 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x36_STEEL_STYLE_C_RECTANGULAR_KEY	36.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x40 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x40_STEEL_STYLE_C_RECTANGULAR_KEY	40.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x45 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x45_STEEL_STYLE_C_RECTANGULAR_KEY	45.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x50 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x50_STEEL_STYLE_C_RECTANGULAR_KEY	50.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x5x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x5x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	8.0	5.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x18 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x18_STEEL_STYLE_C_RECTANGULAR_KEY	18.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x20 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x20_STEEL_STYLE_C_RECTANGULAR_KEY	20.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x22 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x22_STEEL_STYLE_C_RECTANGULAR_KEY	22.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x25 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x25_STEEL_STYLE_C_RECTANGULAR_KEY	25.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x28 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x28_STEEL_STYLE_C_RECTANGULAR_KEY	28.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x32 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x32_STEEL_STYLE_C_RECTANGULAR_KEY	32.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x36 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x36_STEEL_STYLE_C_RECTANGULAR_KEY	36.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x40 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x40_STEEL_STYLE_C_RECTANGULAR_KEY	40.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x45 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x45_STEEL_STYLE_C_RECTANGULAR_KEY	45.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x50 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x50_STEEL_STYLE_C_RECTANGULAR_KEY	50.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 8x7x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_8x7x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	8.0	7.0	0.4	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x22 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x22_STEEL_STYLE_C_RECTANGULAR_KEY	22.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x25 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x25_STEEL_STYLE_C_RECTANGULAR_KEY	25.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x28 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x28_STEEL_STYLE_C_RECTANGULAR_KEY	28.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x32 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x32_STEEL_STYLE_C_RECTANGULAR_KEY	32.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x36 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x36_STEEL_STYLE_C_RECTANGULAR_KEY	36.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x40 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x40_STEEL_STYLE_C_RECTANGULAR_KEY	40.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x45 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x45_STEEL_STYLE_C_RECTANGULAR_KEY	45.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x50 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x50_STEEL_STYLE_C_RECTANGULAR_KEY	50.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x6x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x6x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	10.0	6.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x8x22 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x8x22_STEEL_STYLE_C_RECTANGULAR_KEY	22.0	10.0	8.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 10x8x25 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_10x8x25_STEEL_STYLE_C_RECTANGULAR_KEY	25.0	10.0	8.0	0.6	C	St	ASME B18.25.1M	1996
