PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	s_chamfer(mm)	Style	Material	Reference	Edition
ASME B18.25.1M KEY 2x2x6 STEEL SQUARE STYLE A	ASME_B18_25_1M_2x2x6_STEEL_STYLE_A_SQUARE_KEY	6.0	2.0	2.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 2x2x8 STEEL SQUARE STYLE A	ASME_B18_25_1M_2x2x8_STEEL_STYLE_A_SQUARE_KEY	8.0	2.0	2.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 2x2x10 STEEL SQUARE STYLE A	ASME_B18_25_1M_2x2x10_STEEL_STYLE_A_SQUARE_KEY	10.0	2.0	2.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 2x2x12 STEEL SQUARE STYLE A	ASME_B18_25_1M_2x2x12_STEEL_STYLE_A_SQUARE_KEY	12.0	2.0	2.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 2x2x14 STEEL SQUARE STYLE A	ASME_B18_25_1M_2x2x14_STEEL_STYLE_A_SQUARE_KEY	14.0	2.0	2.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 2x2x16 STEEL SQUARE STYLE A	ASME_B18_25_1M_2x2x16_STEEL_STYLE_A_SQUARE_KEY	16.0	2.0	2.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 2x2x18 STEEL SQUARE STYLE A	ASME_B18_25_1M_2x2x18_STEEL_STYLE_A_SQUARE_KEY	18.0	2.0	2.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 2x2x20 STEEL SQUARE STYLE A	ASME_B18_25_1M_2x2x20_STEEL_STYLE_A_SQUARE_KEY	20.0	2.0	2.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x6 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x6_STEEL_STYLE_A_SQUARE_KEY	6.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x8 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x8_STEEL_STYLE_A_SQUARE_KEY	8.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x10 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x10_STEEL_STYLE_A_SQUARE_KEY	10.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x12 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x12_STEEL_STYLE_A_SQUARE_KEY	12.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x14 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x14_STEEL_STYLE_A_SQUARE_KEY	14.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x16 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x16_STEEL_STYLE_A_SQUARE_KEY	16.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x18 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x18_STEEL_STYLE_A_SQUARE_KEY	18.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x20 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x20_STEEL_STYLE_A_SQUARE_KEY	20.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x22 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x22_STEEL_STYLE_A_SQUARE_KEY	22.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x25 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x25_STEEL_STYLE_A_SQUARE_KEY	25.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x28 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x28_STEEL_STYLE_A_SQUARE_KEY	28.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x32 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x32_STEEL_STYLE_A_SQUARE_KEY	32.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 3x3x36 STEEL SQUARE STYLE A	ASME_B18_25_1M_3x3x36_STEEL_STYLE_A_SQUARE_KEY	36.0	3.0	3.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x8 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x8_STEEL_STYLE_A_SQUARE_KEY	8.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x10 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x10_STEEL_STYLE_A_SQUARE_KEY	10.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x12 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x12_STEEL_STYLE_A_SQUARE_KEY	12.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x14 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x14_STEEL_STYLE_A_SQUARE_KEY	14.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x16 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x16_STEEL_STYLE_A_SQUARE_KEY	16.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x18 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x18_STEEL_STYLE_A_SQUARE_KEY	18.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x20 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x20_STEEL_STYLE_A_SQUARE_KEY	20.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x22 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x22_STEEL_STYLE_A_SQUARE_KEY	22.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x25 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x25_STEEL_STYLE_A_SQUARE_KEY	25.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x28 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x28_STEEL_STYLE_A_SQUARE_KEY	28.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x32 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x32_STEEL_STYLE_A_SQUARE_KEY	32.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x36 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x36_STEEL_STYLE_A_SQUARE_KEY	36.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x40 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x40_STEEL_STYLE_A_SQUARE_KEY	40.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 4x4x45 STEEL SQUARE STYLE A	ASME_B18_25_1M_4x4x45_STEEL_STYLE_A_SQUARE_KEY	45.0	4.0	4.0	0.25	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x5x10 STEEL SQUARE STYLE A	ASME_B18_25_1M_5x5x10_STEEL_STYLE_A_SQUARE_KEY	10.0	5.0	5.0	0.4	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x5x12 STEEL SQUARE STYLE A	ASME_B18_25_1M_5x5x12_STEEL_STYLE_A_SQUARE_KEY	12.0	5.0	5.0	0.4	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x5x14 STEEL SQUARE STYLE A	ASME_B18_25_1M_5x5x14_STEEL_STYLE_A_SQUARE_KEY	14.0	5.0	5.0	0.4	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x5x16 STEEL SQUARE STYLE A	ASME_B18_25_1M_5x5x16_STEEL_STYLE_A_SQUARE_KEY	16.0	5.0	5.0	0.4	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x5x18 STEEL SQUARE STYLE A	ASME_B18_25_1M_5x5x18_STEEL_STYLE_A_SQUARE_KEY	18.0	5.0	5.0	0.4	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x5x20 STEEL SQUARE STYLE A	ASME_B18_25_1M_5x5x20_STEEL_STYLE_A_SQUARE_KEY	20.0	5.0	5.0	0.4	A	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 5x5x22 STEEL SQUARE STYLE A	ASME_B18_25_1M_5x5x22_STEEL_STYLE_A_SQUARE_KEY	22.0	5.0	5.0	0.4	A	St	ASME B18.25.1M	1996
