PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	d1_minor_dia(mm)	threading(mm)	S_across_flat_max(mm)	S_across_flat_min(mm)	E_across_corners_max(mm)	E_across_corners_min(mm)	M_thick_max(mm)	M_thick_min(mm)	Dw_face_min(mm)	Material	Reference	Edition
ASME B18.2.4.1M NUT M1.6 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M1.6_STEEL_HEXAGON_STYLE_1_NUT	M1.6	1.6	0.35	1.221	1.3	3.2	3.02	3.7	3.41	1.3	1.05	2.3	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M2 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M2_STEEL_HEXAGON_STYLE_1_NUT	M2	2.0	0.4	1.567	1.6	4.0	3.82	4.62	4.32	1.6	1.35	3.1	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M2.5 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M2.5_STEEL_HEXAGON_STYLE_1_NUT	M2.5	2.5	0.45	2.013	2.0	5.0	4.82	5.77	5.45	2.0	1.75	4.1	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M3 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M3_STEEL_HEXAGON_STYLE_1_NUT	M3	3.0	0.5	2.459	2.4	5.5	5.32	6.35	6.01	2.4	2.15	4.6	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M3.5 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M3.5_STEEL_HEXAGON_STYLE_1_NUT	M3.5	3.5	0.6	2.851	2.8	6.0	5.82	6.93	6.58	2.8	2.55	5.1	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M4 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M4_STEEL_HEXAGON_STYLE_1_NUT	M4	4.0	0.7	3.242	3.2	7.0	6.78	8.08	7.66	3.2	2.9	6.0	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M5 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M5_STEEL_HEXAGON_STYLE_1_NUT	M5	5.0	0.8	4.134	4.7	8.0	7.78	9.24	8.79	4.7	4.4	7.0	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M6 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M6_STEEL_HEXAGON_STYLE_1_NUT	M6	6.0	1.0	4.918	5.2	10.0	9.78	11.55	11.05	5.2	4.9	8.9	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M8 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M8_STEEL_HEXAGON_STYLE_1_NUT	M8	8.0	1.25	6.647	6.8	13.0	12.73	15.01	14.38	6.8	6.44	11.6	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M10 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M10_STEEL_HEXAGON_STYLE_1_NUT	M10	10.0	1.5	8.376	8.4	16.0	15.73	18.45	17.77	8.4	8.04	14.6	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M12 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M12_STEEL_HEXAGON_STYLE_1_NUT	M12	12.0	1.75	10.106	10.8	18.0	17.73	20.78	20.03	10.8	10.37	16.6	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M14 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M14_STEEL_HEXAGON_STYLE_1_NUT	M14	14.0	2.0	11.835	12.8	21.0	20.67	24.25	23.35	12.8	12.1	19.4	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M16 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M16_STEEL_HEXAGON_STYLE_1_NUT	M16	16.0	2.0	13.835	14.8	24.0	23.67	27.71	26.75	14.8	14.1	22.4	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M20 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M20_STEEL_HEXAGON_STYLE_1_NUT	M20	20.0	2.5	17.294	18.0	30.0	29.16	34.64	32.95	18.0	16.9	27.9	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M24 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M24_STEEL_HEXAGON_STYLE_1_NUT	M24	24.0	3.0	20.753	21.5	36.0	35.0	41.57	39.55	21.5	20.2	32.5	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M30 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M30_STEEL_HEXAGON_STYLE_1_NUT	M30	30.0	3.5	26.211	25.6	46.0	45.0	53.12	50.85	25.6	24.3	42.5	St	ASME B18.2.4.1M	2002
ASME B18.2.4.1M NUT M36 STEEL HEXAGON STYLE 1	ASME_B18_2_4_1M_M36_STEEL_HEXAGON_STYLE_1_NUT	M36	36.0	4.0	31.67	31.0	55.0	53.8	63.51	60.79	31.0	29.4	50.8	St	ASME B18.2.4.1M	2002
