PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	d1_minor_dia(mm)	threading(mm)	S_across_flat_max(mm)	S_across_flat_min(mm)	E_across_corners_max(mm)	E_across_corners_min(mm)	M_thick_max(mm)	M_thick_min(mm)	Dw_face_min(mm)	Material	Reference	Edition
ASME B18.2.4.2M NUT M3 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M3_STEEL_HEXAGON_NUT_STYLE_2_NUT	M3	3.0	0.5	2.459	2.9	5.5	5.32	6.35	6.01	2.9	2.65	4.6	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M3.5 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M3.5_STEEL_HEXAGON_NUT_STYLE_2_NUT	M3.5	3.5	0.6	2.851	3.3	6.0	5.82	6.93	6.58	3.3	3.0	5.1	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M4 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M4_STEEL_HEXAGON_NUT_STYLE_2_NUT	M4	4.0	0.7	3.242	3.8	7.0	6.78	8.08	7.66	3.8	3.5	5.9	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M5 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M5_STEEL_HEXAGON_NUT_STYLE_2_NUT	M5	5.0	0.8	4.134	5.1	8.0	7.78	9.24	8.79	5.1	4.8	6.9	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M6 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M6_STEEL_HEXAGON_NUT_STYLE_2_NUT	M6	6.0	1.0	4.918	5.7	10.0	9.78	11.55	11.05	5.7	5.4	8.9	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M8 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M8_STEEL_HEXAGON_NUT_STYLE_2_NUT	M8	8.0	1.25	6.647	7.5	13.0	12.73	15.01	14.38	7.5	7.14	11.6	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M10 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M10_STEEL_HEXAGON_NUT_STYLE_2_NUT	M10	10.0	1.5	8.376	9.3	16.0	15.73	18.48	17.77	9.3	8.94	14.6	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M12 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M12_STEEL_HEXAGON_NUT_STYLE_2_NUT	M12	12.0	1.75	10.106	12.0	18.0	17.73	20.78	20.03	12.0	11.57	16.6	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M14 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M14_STEEL_HEXAGON_NUT_STYLE_2_NUT	M14	14.0	2.0	11.835	14.1	21.0	20.67	24.25	23.36	14.1	13.4	19.4	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M16 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M16_STEEL_HEXAGON_NUT_STYLE_2_NUT	M16	16.0	2.0	13.835	16.4	24.0	23.67	27.71	26.75	16.4	15.7	22.4	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M20 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M20_STEEL_HEXAGON_NUT_STYLE_2_NUT	M20	20.0	2.5	17.294	20.3	30.0	29.16	34.64	32.95	20.3	19.0	27.9	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M24 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M24_STEEL_HEXAGON_NUT_STYLE_2_NUT	M24	24.0	3.0	20.753	23.9	36.0	35.0	41.57	39.55	23.9	22.6	32.5	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M30 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M30_STEEL_HEXAGON_NUT_STYLE_2_NUT	M30	30.0	3.5	26.211	28.6	46.0	45.0	53.12	50.85	28.6	27.3	42.5	St	ASME B18.2.4.2M	1979
ASME B18.2.4.2M NUT M36 STEEL HEXAGON STYLE 2	ASME_B18_2_4_2M_M36_STEEL_HEXAGON_NUT_STYLE_2_NUT	M36	36.0	4.0	31.67	34.7	55.0	53.8	63.51	60.79	34.7	33.1	50.8	St	ASME B18.2.4.2M	1979
