PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	L_length_nom(mm)	J_hex_socket_nom(mm)	T_depth_min(mm)	A_point_dia_max(mm)	A_point_dia_min(mm)	Y_point angle(deg)	Material	Reference	Edition
ASME B18.3.6M SCREW M1.6x1.5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x1.5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	1.391	1.5	0.7	0.6	0.16	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x2 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x2_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	1.891	2.0	0.7	0.8	0.16	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x2.5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x2.5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	2.391	2.5	0.7	1.0	0.16	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x3 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x3_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	2.891	3.0	0.7	1.25	0.16	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x4 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x4_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	3.891	4.0	0.7	1.25	0.16	0.0	90	St	ASME B18.3.6M	1987
ASME B18.3.6M SCREW M1.6x5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	4.891	5.0	0.7	1.25	0.16	0.0	90	St	ASME B18.3.6M	1988
ASME B18.3.6M SCREW M1.6x6 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x6_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	5.891	6.0	0.7	1.25	0.16	0.0	90	St	ASME B18.3.6M	1989
ASME B18.3.6M SCREW M1.6x8 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x8_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	7.891	8.0	0.7	1.25	0.16	0.0	90	St	ASME B18.3.6M	1990
ASME B18.3.6M SCREW M1.6x10 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x10_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	9.891	10.0	0.7	1.25	0.16	0.0	90	St	ASME B18.3.6M	1991
ASME B18.3.6M SCREW M1.6x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	11.891	12.0	0.7	1.25	0.16	0.0	90	St	ASME B18.3.6M	1990
ASME B18.3.6M SCREW M1.6x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M1.6x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	15.891	16.0	0.7	1.25	0.16	0.0	90	St	ASME B18.3.6M	1991
ASME B18.3.6M SCREW M2x1.5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2x1.5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2	2.0	0.4	1.375	1.5	0.9	0.6	0.2	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2x2 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2x2_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2	2.0	0.4	1.875	2.0	0.9	0.8	0.2	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2x2.5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2x2.5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2	2.0	0.4	2.375	2.5	0.9	1.0	0.2	0.0	118	St	ASME B18.3.6M	1986
