PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	L_length_nom(mm)	C_point_dia_max(mm)	J_hex_socket_nom(mm)	T_depth_min(mm)	C_point_dia_min(mm)	Material	Reference	Edition
ASME B18.3.6M SCREW M1.6x1.5 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x1.5_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	1.1	1.5	0.8	0.7	0.6	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x2 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x2_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	1.6	2.0	0.8	0.7	0.8	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x2.5 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x2.5_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	2.1	2.5	0.8	0.7	1.0	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x3 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x3_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	2.6	3.0	0.8	0.7	1.25	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x4 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x4_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	3.6	4.0	0.8	0.7	1.25	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x5 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x5_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	4.6	5.0	0.8	0.7	1.25	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x6 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x6_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	5.6	6.0	0.8	0.7	1.25	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x8 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x8_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	7.6	8.0	0.8	0.7	1.25	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x10 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x10_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	9.6	10.0	0.8	0.7	1.25	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x12 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x12_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	11.6	12.0	0.8	0.7	1.25	0.55	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M1.6x16 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M1.6x16_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M1.6	1.6	0.35	15.6	16.0	0.8	0.7	1.25	0.55	St	ASME B18.3.6M	1986
