PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_len_nom(mm)	ds_dia_min(mm)	dk_dia_max(mm)	dk_dia_min(mm)	k_hd_hgt(mm)	r_u_head(mm)	M_recess_ref(mm)	T_Recess_ref(mm)	N_recess_ref(mm)	Driver_size	Lus_head(mm)	Dp_min(mm)	Recess_type	Style	Material	Reference	Edition
ASME B18.6.7M SCREW M2x3 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2x3_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2	2.0	0.4	0.8	3.0	1.65	3.8	3.5	1.2	0.4	2.14	1.54	0.53	0.0	1.0	1.21	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x4 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2x4_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2	2.0	0.4	1.8	4.0	1.65	3.8	3.5	1.2	0.4	2.14	1.54	0.53	0.0	1.0	1.21	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x5 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2x5_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2	2.0	0.4	2.8	5.0	1.65	3.8	3.5	1.2	0.4	2.14	1.54	0.53	0.0	1.0	1.21	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x6 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2x6_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2	2.0	0.4	3.8	6.0	1.65	3.8	3.5	1.2	0.4	2.14	1.54	0.53	0.0	1.0	1.21	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x8 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2x8_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2	2.0	0.4	5.8	8.0	1.65	3.8	3.5	1.2	0.4	2.14	1.54	0.53	0.0	1.0	1.21	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x10 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2x10_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2	2.0	0.4	7.8	10.0	1.65	3.8	3.5	1.2	0.4	2.14	1.54	0.53	0.0	1.0	1.21	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x13 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2x13_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2	2.0	0.4	10.8	13.0	1.65	3.8	3.5	1.2	0.4	2.14	1.54	0.53	0.0	1.0	1.21	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x16 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2x16_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2	2.0	0.4	13.8	16.0	1.65	3.8	3.5	1.2	0.4	2.14	1.54	0.53	0.0	1.0	1.21	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x20 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2x20_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2	2.0	0.4	17.8	20.0	1.65	3.8	3.5	1.2	0.4	2.14	1.54	0.53	0.0	1.0	1.21	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x4 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2.5x4_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2.5	2.5	0.45	1.4	4.0	2.12	4.7	4.4	1.5	0.5	2.8	1.78	0.74	1.0	1.1	1.57	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x5 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2.5x5_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2.5	2.5	0.45	2.4	5.0	2.12	4.7	4.4	1.5	0.5	2.8	1.78	0.74	1.0	1.1	1.57	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x6 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2.5x6_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2.5	2.5	0.45	3.4	6.0	2.12	4.7	4.4	1.5	0.5	2.8	1.78	0.74	1.0	1.1	1.57	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x8 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2.5x8_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2.5	2.5	0.45	5.4	8.0	2.12	4.7	4.4	1.5	0.5	2.8	1.78	0.74	1.0	1.1	1.57	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x10 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2.5x10_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2.5	2.5	0.45	7.4	10.0	2.12	4.7	4.4	1.5	0.5	2.8	1.78	0.74	1.0	1.1	1.57	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x13 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2.5x13_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2.5	2.5	0.45	10.4	13.0	2.12	4.7	4.4	1.5	0.5	2.8	1.78	0.74	1.0	1.1	1.57	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x16 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2.5x16_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2.5	2.5	0.45	13.4	16.0	2.12	4.7	4.4	1.5	0.5	2.8	1.78	0.74	1.0	1.1	1.57	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x20 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2.5x20_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2.5	2.5	0.45	17.4	20.0	2.12	4.7	4.4	1.5	0.5	2.8	1.78	0.74	1.0	1.1	1.57	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x25 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M2.5x25_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M2.5	2.5	0.45	22.4	25.0	2.12	4.7	4.4	1.5	0.5	2.8	1.78	0.74	1.0	1.1	1.57	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x5 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3x5_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3	3.0	0.5	2.1	5.0	2.58	5.5	5.2	1.7	0.6	3.1	2.08	0.79	1.0	1.2	1.93	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x6 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3x6_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3	3.0	0.5	3.1	6.0	2.58	5.5	5.2	1.7	0.6	3.1	2.08	0.79	1.0	1.2	1.93	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x8 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3x8_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3	3.0	0.5	5.1	8.0	2.58	5.5	5.2	1.7	0.6	3.1	2.08	0.79	1.0	1.2	1.93	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x10 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3x10_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3	3.0	0.5	7.1	10.0	2.58	5.5	5.2	1.7	0.6	3.1	2.08	0.79	1.0	1.2	1.93	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x13 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3x13_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3	3.0	0.5	10.1	13.0	2.58	5.5	5.2	1.7	0.6	3.1	2.08	0.79	1.0	1.2	1.93	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x16 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3x16_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3	3.0	0.5	13.1	16.0	2.58	5.5	5.2	1.7	0.6	3.1	2.08	0.79	1.0	1.2	1.93	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x20 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3x20_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3	3.0	0.5	17.1	20.0	2.58	5.5	5.2	1.7	0.6	3.1	2.08	0.79	1.0	1.2	1.93	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x25 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3x25_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3	3.0	0.5	22.1	25.0	2.58	5.5	5.2	1.7	0.6	3.1	2.08	0.79	1.0	1.2	1.93	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x30 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3x30_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3	3.0	0.5	27.1	30.0	2.58	5.5	5.2	1.7	0.6	3.1	2.08	0.79	1.0	1.2	1.93	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x6 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3.5x6_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3.5	3.5	0.6	2.2	6.0	3.0	7.3	6.9	2.3	0.7	4.06	2.25	0.91	2.0	1.5	2.24	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x8 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3.5x8_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3.5	3.5	0.6	4.2	8.0	3.0	7.3	6.9	2.3	0.7	4.06	2.25	0.91	2.0	1.5	2.24	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x10 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3.5x10_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3.5	3.5	0.6	6.2	10.0	3.0	7.3	6.9	2.3	0.7	4.06	2.25	0.91	2.0	1.5	2.24	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x13 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3.5x13_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3.5	3.5	0.6	9.2	13.0	3.0	7.3	6.9	2.3	0.7	4.06	2.25	0.91	2.0	1.5	2.24	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x16 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3.5x16_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3.5	3.5	0.6	12.2	16.0	3.0	7.3	6.9	2.3	0.7	4.06	2.25	0.91	2.0	1.5	2.24	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x20 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3.5x20_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3.5	3.5	0.6	16.2	20.0	3.0	7.3	6.9	2.3	0.7	4.06	2.25	0.91	2.0	1.5	2.24	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x25 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3.5x25_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3.5	3.5	0.6	21.2	25.0	3.0	7.3	6.9	2.3	0.7	4.06	2.25	0.91	2.0	1.5	2.24	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x30 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3.5x30_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3.5	3.5	0.6	26.2	30.0	3.0	7.3	6.9	2.3	0.7	4.06	2.25	0.91	2.0	1.5	2.24	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x35 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M3.5x35_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M3.5	3.5	0.6	31.2	35.0	3.0	7.3	6.9	2.3	0.7	4.06	2.25	0.91	2.0	1.5	2.24	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x6 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x6_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	1.5	6.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x8 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x8_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	3.5	8.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x10 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x10_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	5.5	10.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x13 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x13_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	8.5	13.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x16 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x16_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	11.5	16.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x20 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x20_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	15.5	20.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x25 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x25_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	20.5	25.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x30 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x30_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	25.5	30.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x35 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x35_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	30.5	35.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M4x40 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M4x40_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M4	4.0	0.7	35.5	40.0	3.43	8.4	8.0	2.7	0.8	4.46	2.65	0.96	2.0	1.8	2.55	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x8 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x8_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	3.3	8.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x10 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x10_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	5.3	10.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x13 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x13_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	8.3	13.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x16 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x16_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	11.3	16.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x20 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x20_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	15.3	20.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x25 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x25_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	20.3	25.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x30 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x30_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	25.3	30.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
