PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	P_pen_min(mm)	l_len_nom(mm)	Dsh_min(mm)	ds_dia_min(mm)	dk_dia_max(mm)	dk_dia_min(mm)	k_hd_hgt(mm)	Lsh_max(mm)	Lsh_min(mm)	r_u_head_max(mm)	M_recess_ref(mm)	T_Recess_ref(mm)	Driver_size	Lus_head(mm)	Dp_min(mm)	Recess_type	Style	Material	Reference	Edition
ASME B18.6.7M SCREW M2.5x4 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M2.5x4_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M2.5	2.5	0.45	1.4	0.71	4.0	2.36	2.12	4.7	4.4	1.5	0.55	0.35	0.5	1.78	1.68	0.0	1.1	1.57	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x5 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M2.5x5_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M2.5	2.5	0.45	2.4	0.71	5.0	2.36	2.12	4.7	4.4	1.5	0.55	0.35	0.5	1.78	1.68	0.0	1.1	1.57	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x6 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M2.5x6_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M2.5	2.5	0.45	3.4	0.71	6.0	2.36	2.12	4.7	4.4	1.5	0.55	0.35	0.5	1.78	1.68	0.0	1.1	1.57	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x8 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M2.5x8_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M2.5	2.5	0.45	5.4	0.71	8.0	2.36	2.12	4.7	4.4	1.5	0.55	0.35	0.5	1.78	1.68	0.0	1.1	1.57	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x10 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M2.5x10_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M2.5	2.5	0.45	7.4	0.71	10.0	2.36	2.12	4.7	4.4	1.5	0.55	0.35	0.5	1.78	1.68	0.0	1.1	1.57	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x13 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M2.5x13_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M2.5	2.5	0.45	10.4	0.71	13.0	2.36	2.12	4.7	4.4	1.5	0.55	0.35	0.5	1.78	1.68	0.0	1.1	1.57	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x16 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M2.5x16_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M2.5	2.5	0.45	13.4	0.71	16.0	2.36	2.12	4.7	4.4	1.5	0.55	0.35	0.5	1.78	1.68	0.0	1.1	1.57	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x20 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M2.5x20_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M2.5	2.5	0.45	17.4	0.71	20.0	2.36	2.12	4.7	4.4	1.5	0.55	0.35	0.5	1.78	1.68	0.0	1.1	1.57	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x25 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M2.5x25_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M2.5	2.5	0.45	22.4	0.71	25.0	2.36	2.12	4.7	4.4	1.5	0.55	0.35	0.5	1.78	1.68	0.0	1.1	1.57	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x5 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M3x5_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M3	3.0	0.5	2.1	0.71	5.0	2.86	2.58	5.5	5.2	1.7	0.6	0.4	0.6	1.78	1.68	0.0	1.2	1.93	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x6 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M3x6_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M3	3.0	0.5	3.1	0.71	6.0	2.86	2.58	5.5	5.2	1.7	0.6	0.4	0.6	1.78	1.68	0.0	1.2	1.93	111.0	B	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x8 STEE MC FLAT HEAD RECESS TYPE 111 STYLE B	ASME_B18_6_7M_M3x8_STEEL_FLAT_HEAD_RECESS_TYPE_111_STYLE_B_MC_SCREW	M3	3.0	0.5	5.1	0.71	8.0	2.86	2.58	5.5	5.2	1.7	0.6	0.4	0.6	1.78	1.68	0.0	1.2	1.93	111.0	B	St	ASME 18.6.7M	1999
