PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_len_nom(mm)	ds_dia_min(mm)	s_hex_af(mm)	e_hex_ac(mm)	dc_dia_flg(mm)	k_hd_hgt(mm)	k1_hex_hgt(mm)	c_flg_thk(mm)	lu_head(mm)	r_u_head(mm)	Material	Reference	Edition
ASME B18.6.7M SCREW M2x2.5 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x2.5_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	2.1	2.5	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.4	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x3 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x3_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	2.6	3.0	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.4	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x4 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x4_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	3.6	4.0	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.4	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x5 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x5_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	4.6	5.0	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.4	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x6 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x6_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	5.6	6.0	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.4	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x8 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x8_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	7.2	8.0	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.8	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x10 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x10_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	9.2	10.0	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.8	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x13 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x13_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	12.2	13.0	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.8	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x16 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x16_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	15.2	16.0	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.8	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x20 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2x20_STEEL_HEX_FLANGE_MC_SCREW	M2	2.0	0.4	19.2	20.0	1.65	3.0	3.16	4.5	2.2	1.3	0.3	0.8	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x3 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2.5x3_STEEL_HEX_FLANGE_MC_SCREW	M2.5	2.5	0.45	2.5	3.0	2.12	3.2	3.39	5.4	2.7	1.6	0.3	0.5	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x4 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2.5x4_STEEL_HEX_FLANGE_MC_SCREW	M2.5	2.5	0.45	3.5	4.0	2.12	3.2	3.39	5.4	2.7	1.6	0.3	0.5	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x5 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2.5x5_STEEL_HEX_FLANGE_MC_SCREW	M2.5	2.5	0.45	4.5	5.0	2.12	3.2	3.39	5.4	2.7	1.6	0.3	0.5	0.1	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x6 STEEL MC HEX FLANGE	ASME_B18_6_7M_M2.5x6_STEEL_HEX_FLANGE_MC_SCREW	M2.5	2.5	0.45	5.5	6.0	2.12	3.2	3.39	5.4	2.7	1.6	0.3	0.5	0.1	St	ASME 18.6.7M	1999
