PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_len_nom(mm)	ds_dia_min(mm)	dk_head_dia_max(mm)	k_hd_hgt_max(mm)	r1_head_rad_max(mm)	r_u_head(mm)	n_slot_wid_max(mm)	t_dep_min(mm)	lu_head(mm)	Material	Reference	Edition
ASME B18.6.7M SCREW M2x2.5STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x2.5_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	2.1	2.5	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x3STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x3_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	2.6	3.0	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x4STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x4_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	3.6	4.0	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x5STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x5_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	4.6	5.0	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x6STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x6_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	5.6	6.0	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x8STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x8_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	7.2	8.0	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.8	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x10STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x10_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	9.2	10.0	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.8	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x13STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x13_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	12.2	13.0	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.8	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x16STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x16_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	15.2	16.0	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.8	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2x20STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2x20_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2	2.0	0.4	19.2	20.0	1.65	4.0	1.3	0.8	0.1	0.7	0.5	0.8	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x3STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x3_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	2.5	3.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.5	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x4STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x4_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	3.5	4.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.5	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x5STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x5_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	4.5	5.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.5	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x6STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x6_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	5.5	6.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.5	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x8STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x8_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	7.5	8.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.5	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x10STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x10_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	9.1	10.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.9	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x13STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x13_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	12.1	13.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.9	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x16STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x16_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	15.1	16.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.9	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x20STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x20_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	19.1	20.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.9	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x25STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M2.5x25_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M2.5	2.5	0.45	24.1	25.0	2.12	5.0	1.5	1.0	0.1	0.8	0.6	0.9	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x4STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M3x4_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M3	3.0	0.5	3.5	4.0	2.58	5.6	1.8	1.2	0.1	1.0	0.7	0.5	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x5STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M3x5_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M3	3.0	0.5	4.5	5.0	2.58	5.6	1.8	1.2	0.1	1.0	0.7	0.5	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x6STEEL MC SLOTTED PAN HEAD	ASME_B18_6_7M_M3x6_STEEL_SLOTTED_PAN_HEAD_MC_SCREW	M3	3.0	0.5	5.5	6.0	2.58	5.6	1.8	1.2	0.1	1.0	0.7	0.5	St	ASME 18.6.7M	1999
