PartNumber	PartName	Nom_pin_size(mm)	Nominal_len(mm)	D_dia_max(mm)	D_dia_min(mm)	B_chamfer_dia_max(mm)	C_chamfer_lg_max(mm)	C_chamfer_lg_min(mm)	S_stock_thk_nom(mm)	Hole_size_min(mm)	Type	Material	Reference	Edition
ASME B18.8.4M PIN 1.5x4 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x4_TYPE_A_STEEL_SPRING_PIN	1.5	4.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x5 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x5_TYPE_A_STEEL_SPRING_PIN	1.5	5.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x6 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x6_TYPE_A_STEEL_SPRING_PIN	1.5	6.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x8 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x8_TYPE_A_STEEL_SPRING_PIN	1.5	8.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x10 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x10_TYPE_A_STEEL_SPRING_PIN	1.5	10.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x12 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x12_TYPE_A_STEEL_SPRING_PIN	1.5	12.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x14 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x14_TYPE_A_STEEL_SPRING_PIN	1.5	14.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x16 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x16_TYPE_A_STEEL_SPRING_PIN	1.5	16.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x18 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x18_TYPE_A_STEEL_SPRING_PIN	1.5	18.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x20 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x20_TYPE_A_STEEL_SPRING_PIN	1.5	20.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x22 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x22_TYPE_A_STEEL_SPRING_PIN	1.5	22.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x24 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x24_TYPE_A_STEEL_SPRING_PIN	1.5	24.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x26 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x26_TYPE_A_STEEL_SPRING_PIN	1.5	26.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 1.5x28 STEEL SPRING TYPE A	ASME_B18_8_4M_1.5x28_TYPE_A_STEEL_SPRING_PIN	1.5	28.0	1.69	1.62	1.4	0.7	0.15	0.3	1.5	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 2x4 STEEL SPRING TYPE A	ASME_B18_8_4M_2x4_TYPE_A_STEEL_SPRING_PIN	2.0	4.0	2.2	2.12	1.9	0.8	0.2	0.4	2.0	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 2x5 STEEL SPRING TYPE A	ASME_B18_8_4M_2x5_TYPE_A_STEEL_SPRING_PIN	2.0	5.0	2.2	2.12	1.9	0.8	0.2	0.4	2.0	A	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 2x6 STEEL SPRING TYPE A	ASME_B18_8_4M_2x6_TYPE_A_STEEL_SPRING_PIN	2.0	6.0	2.2	2.12	1.9	0.8	0.2	0.4	2.0	A	St	ASME B18.8.4M	2000
