PartNumber	PartName	Nominal_size(mm)	Nominal_len(mm)	A_pin_dia_max(mm)	A_pin_dia_min(mm)	B_point_dia_max(mm)	B_point_dia_min(mm)	C_crown_max(mm)	R_radius_min(mm)	L_nom_min(mm)	Type	Material	Reference	Edition
ASME B18.8.5M PIN 1.5x6 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_1.5x6_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	1.5	6.0	1.508	1.503	1.4	1.2	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 1.5x8 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_1.5x8_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	1.5	8.0	1.508	1.503	1.4	1.2	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 1.5x10 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_1.5x10_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	1.5	10.0	1.508	1.503	1.4	1.2	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 1.5x12 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_1.5x12_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	1.5	12.0	1.508	1.503	1.4	1.2	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 2x6 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_2x6_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	2.0	6.0	2.008	2.003	1.9	1.7	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 2x8 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_2x8_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	2.0	8.0	2.008	2.003	1.9	1.7	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 2x10 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_2x10_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	2.0	10.0	2.008	2.003	1.9	1.7	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 2x12 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_2x12_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	2.0	12.0	2.008	2.003	1.9	1.7	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 2x16 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_2x16_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	2.0	16.0	2.008	2.003	1.9	1.7	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 2x20 STEEL MACHINE DOWEL TYPE STANDARD_SERIES	ASME_B18_8_5M_2x20_STEEL_TYPE_STANDARD_SERIES_MACHINE_DOWEL_PIN	2.0	20.0	2.008	2.003	1.9	1.7	0.6	0.2	3.5	STANDARD_SERIES	St	ASME B18.8.5M	2000
