PartNumber	PartName	Nom_size(mm)	L_length(mm)	A_shank_dia_max(mm)	A_shank_dia_min(mm)	B_width_max(mm)	B_width_min(mm)	C_head_dia_min(mm)	D_ext_prong_lg_min(mm)	Material	Reference	Edition
ASME B18.8.6M PIN 1x8 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1x8_HAMMER_LOCK_COTTER_PIN	1.0	8.0	0.9	0.8	0.9	0.7	1.6	0.8	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 1.2x8 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1.2x8_HAMMER_LOCK_COTTER_PIN	1.2	8.0	1.0	0.9	1.0	0.8	1.7	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 1.2x12 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1.2x12_HAMMER_LOCK_COTTER_PIN	1.2	12.0	1.0	0.9	1.0	0.8	1.7	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 1.2x16 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1.2x16_HAMMER_LOCK_COTTER_PIN	1.2	16.0	1.0	0.9	1.0	0.8	1.7	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 1.2x22 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1.2x22_HAMMER_LOCK_COTTER_PIN	1.2	22.0	1.0	0.9	1.0	0.8	1.7	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 1.2x28 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1.2x28_HAMMER_LOCK_COTTER_PIN	1.2	28.0	1.0	0.9	1.0	0.8	1.7	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 1.6x12 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1.6x12_HAMMER_LOCK_COTTER_PIN	1.6	12.0	1.4	1.3	1.4	1.1	2.4	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 1.6x16 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1.6x16_HAMMER_LOCK_COTTER_PIN	1.6	16.0	1.4	1.3	1.4	1.1	2.4	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 1.6x22 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1.6x22_HAMMER_LOCK_COTTER_PIN	1.6	22.0	1.4	1.3	1.4	1.1	2.4	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 1.6x28 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_1.6x28_HAMMER_LOCK_COTTER_PIN	1.6	28.0	1.4	1.3	1.4	1.1	2.4	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2x12 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2x12_HAMMER_LOCK_COTTER_PIN	2.0	12.0	1.8	1.7	1.8	1.4	3.2	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2x16 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2x16_HAMMER_LOCK_COTTER_PIN	2.0	16.0	1.8	1.7	1.8	1.4	3.2	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2x22 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2x22_HAMMER_LOCK_COTTER_PIN	2.0	22.0	1.8	1.7	1.8	1.4	3.2	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2x28 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2x28_HAMMER_LOCK_COTTER_PIN	2.0	28.0	1.8	1.7	1.8	1.4	3.2	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2x36 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2x36_HAMMER_LOCK_COTTER_PIN	2.0	36.0	1.8	1.7	1.8	1.4	3.2	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2.5x12 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2.5x12_HAMMER_LOCK_COTTER_PIN	2.5	12.0	2.3	2.1	2.3	1.7	4.0	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2.5x16 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2.5x16_HAMMER_LOCK_COTTER_PIN	2.5	16.0	2.3	2.1	2.3	1.7	4.0	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2.5x22 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2.5x22_HAMMER_LOCK_COTTER_PIN	2.5	22.0	2.3	2.1	2.3	1.7	4.0	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2.5x28 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2.5x28_HAMMER_LOCK_COTTER_PIN	2.5	28.0	2.3	2.1	2.3	1.7	4.0	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2.5x36 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2.5x36_HAMMER_LOCK_COTTER_PIN	2.5	36.0	2.3	2.1	2.3	1.7	4.0	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 2.5x45 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_2.5x45_HAMMER_LOCK_COTTER_PIN	2.5	45.0	2.3	2.1	2.3	1.7	4.0	1.2	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 3.2x16 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_3.2x16_HAMMER_LOCK_COTTER_PIN	3.2	16.0	2.9	2.7	2.9	2.2	5.1	1.6	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 3.2x22 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_3.2x22_HAMMER_LOCK_COTTER_PIN	3.2	22.0	2.9	2.7	2.9	2.2	5.1	1.6	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 3.2x28 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_3.2x28_HAMMER_LOCK_COTTER_PIN	3.2	28.0	2.9	2.7	2.9	2.2	5.1	1.6	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 3.2x36 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_3.2x36_HAMMER_LOCK_COTTER_PIN	3.2	36.0	2.9	2.7	2.9	2.2	5.1	1.6	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 3.2x45 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_3.2x45_HAMMER_LOCK_COTTER_PIN	3.2	45.0	2.9	2.7	2.9	2.2	5.1	1.6	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 3.2x56 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_3.2x56_HAMMER_LOCK_COTTER_PIN	3.2	56.0	2.9	2.7	2.9	2.2	5.1	1.6	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 4x22 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_4x22_HAMMER_LOCK_COTTER_PIN	4.0	22.0	3.7	3.5	3.7	2.8	6.5	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 4x28 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_4x28_HAMMER_LOCK_COTTER_PIN	4.0	28.0	3.7	3.5	3.7	2.8	6.5	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 4x36 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_4x36_HAMMER_LOCK_COTTER_PIN	4.0	36.0	3.7	3.5	3.7	2.8	6.5	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 4x45 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_4x45_HAMMER_LOCK_COTTER_PIN	4.0	45.0	3.7	3.5	3.7	2.8	6.5	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 4x56 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_4x56_HAMMER_LOCK_COTTER_PIN	4.0	56.0	3.7	3.5	3.7	2.8	6.5	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 4x63 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_4x63_HAMMER_LOCK_COTTER_PIN	4.0	63.0	3.7	3.5	3.7	2.8	6.5	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 4x80 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_4x80_HAMMER_LOCK_COTTER_PIN	4.0	80.0	3.7	3.5	3.7	2.8	6.5	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 5x22 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_5x22_HAMMER_LOCK_COTTER_PIN	5.0	22.0	4.6	4.4	4.6	3.5	8.0	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 5x28 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_5x28_HAMMER_LOCK_COTTER_PIN	5.0	28.0	4.6	4.4	4.6	3.5	8.0	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 5x36 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_5x36_HAMMER_LOCK_COTTER_PIN	5.0	36.0	4.6	4.4	4.6	3.5	8.0	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 5x45 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_5x45_HAMMER_LOCK_COTTER_PIN	5.0	45.0	4.6	4.4	4.6	3.5	8.0	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 5x56 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_5x56_HAMMER_LOCK_COTTER_PIN	5.0	56.0	4.6	4.4	4.6	3.5	8.0	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 5x63 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_5x63_HAMMER_LOCK_COTTER_PIN	5.0	63.0	4.6	4.4	4.6	3.5	8.0	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 5x80 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_5x80_HAMMER_LOCK_COTTER_PIN	5.0	80.0	4.6	4.4	4.6	3.5	8.0	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 6.3x36 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_6.3x36_HAMMER_LOCK_COTTER_PIN	6.3	36.0	5.9	5.7	5.9	4.6	10.3	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 6.3x45 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_6.3x45_HAMMER_LOCK_COTTER_PIN	6.3	45.0	5.9	5.7	5.9	4.6	10.3	2.0	St	ASME B18.8.6M	2000
ASME B18.8.6M PIN 6.3x56 STEEL HAMMER LOCK	ASME_B18_8_6M_STEEL_6.3x56_HAMMER_LOCK_COTTER_PIN	6.3	56.0	5.9	5.7	5.9	4.6	10.3	2.0	St	ASME B18.8.6M	2000
