PartNumber	PartName	D_pin_dia(mm)	Nominal_len(mm)	D_dia_max(mm)	D_dia_min(mm)	Dp_point_dia_max(mm)	Dp_point_dia_min(mm)	Lh_hole_ctrs(mm)	D1_hole_dia_nom(mm)	D1_hole_dia_max(mm)	D1_hole_dia_min(mm)	Type	Material	Reference	Edition
ASME B18.8.7M PIN 3x8 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x8_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	8.0	3.0	2.94	2.2	1.8	3.0	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x10 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x10_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	10.0	3.0	2.94	2.2	1.8	4.9	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x12 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x12_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	12.0	3.0	2.94	2.2	1.8	6.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x14 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x14_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	14.0	3.0	2.94	2.2	1.8	8.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x16 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x16_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	16.0	3.0	2.94	2.2	1.8	10.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x18 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x18_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	18.0	3.0	2.94	2.2	1.8	12.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x20 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x20_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	20.0	3.0	2.94	2.2	1.8	14.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x22 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x22_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	22.0	3.0	2.94	2.2	1.8	16.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x24 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x24_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	24.0	3.0	2.94	2.2	1.8	18.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x26 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x26_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	26.0	3.0	2.94	2.2	1.8	20.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x28 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x28_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	28.0	3.0	2.94	2.2	1.8	22.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x30 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x30_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	30.0	3.0	2.94	2.2	1.8	24.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x8 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x8_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	8.0	4.0	3.925	3.2	2.8	2.8	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x10 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x10_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	10.0	4.0	3.925	3.2	2.8	4.8	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x12 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x12_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	12.0	4.0	3.925	3.2	2.8	6.4	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x14 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x14_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	14.0	4.0	3.925	3.2	2.8	8.4	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x16 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x16_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	16.0	4.0	3.925	3.2	2.8	10.5	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x18 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x18_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	18.0	4.0	3.925	3.2	2.8	12.5	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x20 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x20_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	20.0	4.0	3.925	3.2	2.8	14.5	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
