PartNumber	PartName	D_dia_nom(mm)	L_nom(mm)	D_dia_max(mm)	D_dia_min(mm)	Dk_dia_max(mm)	Dk_dia_min(mm)	K_max(mm)	K_min(mm)	E_radius(mm)	R_radius_nom(mm)	t1_max(mm)	t2_max(mm)	Dp_max(mm)	Dp_min(mm)	D1_hole_dia_nom(mm)	D1_hole_dia_max(mm)	D1_hole_dia_min(mm)	Lh_hole_ctrs(mm)	Type	Material	Reference	Edition
ASME B.18.8.8M PIN 3x6 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x6_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	6.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	3.2	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x8 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x8_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	8.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	5.2	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x10 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x10_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	10.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	7.2	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x12 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x12_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	12.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	8.9	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x14 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x14_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	14.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	11.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x16 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x16_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	16.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	13.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x18 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x18_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	18.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	15.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x20 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x20_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	20.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	17.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x22 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x22_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	22.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	19.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x24 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x24_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	24.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	21.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x26 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x26_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	26.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	23.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x28 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x28_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	28.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	25.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 3x30 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_3x30_STEEL_TYPE_B_HEADED_CLEVIS_PIN	3.0	30.0	3.0	2.94	5.0	4.7	1.2	0.8	0.5	0.6	0.14	0.6	2.2	1.8	0.8	0.94	0.8	27.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 4x8 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_4x8_STEEL_TYPE_B_HEADED_CLEVIS_PIN	4.0	8.0	4.0	3.925	6.0	5.7	1.2	0.8	0.5	0.6	0.17	0.6	3.2	2.8	1.0	1.14	1.0	5.2	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 4x10 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_4x10_STEEL_TYPE_B_HEADED_CLEVIS_PIN	4.0	10.0	4.0	3.925	6.0	5.7	1.2	0.8	0.5	0.6	0.17	0.6	3.2	2.8	1.0	1.14	1.0	7.1	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 4x12 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_4x12_STEEL_TYPE_B_HEADED_CLEVIS_PIN	4.0	12.0	4.0	3.925	6.0	5.7	1.2	0.8	0.5	0.6	0.17	0.6	3.2	2.8	1.0	1.14	1.0	8.9	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 4x14 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_4x14_STEEL_TYPE_B_HEADED_CLEVIS_PIN	4.0	14.0	4.0	3.925	6.0	5.7	1.2	0.8	0.5	0.6	0.17	0.6	3.2	2.8	1.0	1.14	1.0	11.0	B	St	ASME B18.8.8M	2000
